Q,K1,K2,K3,K4,A
「電気」「レーザー」などの種類がある、手術や解剖に使う小刀を何という ?,キス,オス,マス,メス,メス
スポーツ団体・FIFAの日本語名「国際〇〇〇連盟」 。 の〇〇は何 ?,水泳,陸上,サッカー,ホッケー,サッカー
俗に、ツバメが低く飛ぶ時、天気はとうなるといわれる 2,砂風,"NN|
十",晴れ,"呈記
雪","NN|
十"
アルコールの種類で、「エタ」と「メタ」の後ろに共通してつく言葉は何 ?,コール,ノール,モール,テール,ノール
はたのさとしの漫画『ナニワめし暮らし』の主な舞台となっている都道府県はどこ?,兵庫,京都,奈良,大阪,大阪
鳴き声が「ブーブー」と聞こえる動物は何 ?          ーー,うし,ねこ,いぬ,ぶた,ぶた
次のうち、「メビウスの輪」の特徴として正しいものはどれ2,重さがない,表裏がない,表面積がない,長さがない,表裏がない
"アニ   の
アニメの登場キャラクター、銭形警部が追いかけている大泥棒は誰 ?",ルパン三世,キャツツ・アイ,かいけつゾロリ,怪人交キッド,ルパン三世
水谷フーカの漫画『14歳の恋』の主人公・吉川和樹と田中彼方は、次のうちとれ?,高校生,中学生,大学生,小学生,中学生
次のうち、「レシーブ」 「トス」「スパイク」などの用語が使われる球技はどれ ?,バレーボール,目球,ラグビー,水球,バレーボール
秋から冬にかけてふく、冷たい風のことを何と言う?,こがらし,えがらし,やがらし,いがらし,こがらし
けがなどで足の不自由な人が歩くとさに用いる、二股の形をした杖は回角,蘭葉杖,松葉杖,竹葉杖,梅葉杖,松葉杖
次のうち、焼き物で有名な愛知県の都市はどこ ?   _,紳戸市,瀬戸市,八戸市,水戸市,瀬戸市
オードリー ・ヘッ プバーンがヒロインのアン土女を演じた映画は何 ?,ティファニーで朝食を,塵しのサブリナ,おしゃれ財棒,ローマの休日,ローマの休日
ランナーズハイが起こる原因とされる、 「脳内硫楽」ともいわれる生経EBMた9円有人,エングランパス,エンドルフィン,エンシャーク,エンホエール,エンドルフィン
ネコの仲間でないのはどれ?,ホッキョクギツネ,チーター,ベンガルトラ,ライオン,ホッキョクギツネ
元素記号「S」で表される、温泉の独特のにおいの原因となる物質は回角,硫日,硫赤,硫青,硫,硫
漫画『君に届け』の主人公・黒沼爽子は、名前と見た目から、何というあだ名で呼ばれている ?,止子,安子,貞子,鯖子,貞子
ピクサーがガ制作したアニメ映画で、擬人化した車が主人公なのはどれ ?,カーズ,トイ・ストーリー,モンスターズ・インク,バグズ・ライフ,カーズ
次のうち、ことわざ「覆水盆に返らず」の意味として正しいものはどれ?,達人も時には失敗する,取り返しがつかない,不運に不連が重なる,大きな決断をする,取り返しがつかない
チョウやガの超の表面を覆う、細かい粉のことを何という ?,花粉,鱗粉,黄粉,白粉,鱗粉
「お金がなくても幸せに暮らそう」をコンセプトとする日本テレビの番組『幸せ!〇の〇OO〇O』 。 〇の〇の〇は何 ?,エンビーガール,バンビーガール,ゾンビーガール,ボンビーガール,ボンビーガール
竹富町、久米島町、嘉手納町などの町がある都道府県はひこ2,東京都,沖縄県,北海道,京都府,沖縄県
巾着のような形をした錠前の一種は円時,北京錠,東京錠,南京錠,西京迫,南京錠
オリンピックの陸上100mで、決勝レスは最大何人で行われる ?,12人,3人,8人,5人,8人
世界的な自転車レース「ツール・,オランダ,ベルギー,フラフランス,ドイツ,フラフランス
トンネルを掘る際などに使われる、ノーベルの発明品は何 ?,ショベルカー,ダイナマイト,ツルハン,ドリル,ダイナマイト
小説『東京タワーンーオカンとボクと、時々、オトン』の著者は誰 ?,コスモス・フランキー,パンジー・フランキー,ローズ・フランキー,リリー・フランキー,リリー・フランキー
次のうち、一般的なルービックキューブの形はどれ3?,立方体,正八面体,三角雛,球,立方体
ルンフェス』を開催し、滋賀県の観光大使にも任命されている歌手は誰 ?,南川貴教,北川貴教,東川貴教,西川貴教,西川貴教
次のスターバックスの飲み物のサイズのうち、最も容量が少ないのはどれ?,トール,グランデ,ベンティ,ショート,ショート
陸上競技で、オリンピックでは50km20kmで行われる種目は何 ?,障害走,マフソン,トライアスロン,中歩,中歩
安藤美姫、高橋大輔、浅田真央といえば、何?                 「,スキージャンプ,フィギュアスケート,モーグル,スピードスケート,フィギュアスケート
野球で、投手の利き手側に曲がっていく変化球は何? 。,ドリブル,トラップ,シュート,パス,シュート
漫画『お釈迎様もみてる』の舞台となっている高校は何教系の高校 ?,仏教系,キリスト教系,イスラム教系,ユダヤ教系,仏教系
田中相の漫画『千年万年りんごの子』の舞台となっている東北の県はとどこ?,宮城県,騙島県,"圭
表森県",秋田県,"圭
表森県"
クロスワードパズルで、パズルを埋めるためのヒントを何という 2?,カギ,フタ,コイン,ボタン,カギ
ニノ宮知子の漫画『のだめカンタービレ』の主人公、野田恵が演奏している楽益は何 ?,ティンパニ,ピアノ,フルート,バイオリン,ピアノ
言葉遊びの「しりとり」で、最後につけると負けになる文字は何 ?,お,わ,ん,ら,ん
下田正輝、舘ひろし、渡哲也といった俳優が所属した芸能事務所はどご2,アミューズ,サンミュージック,石原プロモーション,オフィス北野,石原プロモーション
日本の国旗のことを、通称「何丸」と呼ぶ?              ーー,日の丸,国の丸,ーの丸,赤の丸,日の丸
「氷上の格闘技」とも呼ばれるスポーツはどれ2  「,アイスホッケー,カーリング,スノボクロス,バイアスロン,アイスホッケー
NHK紅白歌合戦の最多出場記録を持EEみにココち失:吉?,五木ひろし,北島三郎,細川たかし,森進一,北島三郎
次のうち、「サバを読む」という言葉の意味はどれ ?   」,数をごまかす,一目置かれる,あきさらめる,激しく怒る,数をごまかす
電圧と電流の積で表される電力の単位は何 ?,テスフ,ワット,ヘンリー,ヘルソツ,ワット
オニギリの内にもなる、マグロの肉のことを何と言う?,ツナ,ヒモ,アミ,イト,ツナ
「ボイパ」や「ボイトレ」の「ボイ」とは何という言葉の略 ?,ボイス,ボイド,ボイン,ボイル,ボイス
次のうち、女性を主人公とする漫画はどれ2?,クッキングパパ,姫ちゃんのリボン,ツヨシしっかりしなさい,コボちゃん,姫ちゃんのリボン
ファミコンゲームのタイトルで『ミシシッピー』 『ポートピア連続』の後ろにつく言葉は何 ?,置陸,クエスト,殺人事件,アドベンチャー,殺人事件
「海の水」という意味がある、3月の誕生石は何 ?       「,ダイヤモンド,アクアマリン,ラピスラズリ,サファイア,アクアマリン
アニメ『アルプスの少女ハイジ』の舞台となっているのは、次のうちどご2,ヨーロッパ,オーストラリア,アメリカ,アフリカ,ヨーロッパ
化粧品に表示される「SPF値」とは、次のうち、何の防止指数のこと?,胸焼け,朝焼け,夕焼け,日焼け,日焼け
「七面島」という意味がある、ボウリングの用語は何 ?,スパット,ターキー,スペア,スプリット,ターキー
ボクシングで、審剤が、試合続行不可能と重断して試合を終わらせることを何という ?,レフェリーストップ,ジュリーストップ,アンパイアストップ,ジャッジストップ,レフェリーストップ
特に中型の個体を「ワラルー」、小型の個体を「ワラビー」という動物は何 ?,コアフ,カンガルー,シマウマ,カワセミ,カンガルー
普通、将棋は何人で対戦するゲーム?2 ー,6人,8人,2人,4人,2人
テニスコートの表面で、セメントなどの基礎の上に化学樹脂をコーティングしたものを何という 2?,ハードコート,エクストリームコート,ノーマルコート,イージーコート,ハードコート
ボウリングで、1投目でピンをすべて倒すことを何という 2?,ストレート,ストレッチ,ストライド,ストライク,ストライク
松本大洋の漫画『ピンポン』はどんなスポーツを題材としている ?,テニス,ゴルフ,提球,バスケットボール,提球
SuicaやPasmoなどの|IC乗車券に金額を追加することを英語で何という 2?,チャージ,チャーハン,ナャート,チャールズ,チャージ
大相撲で、最多連勝記録 「69」を保持しているかつての横綱は誰 ?,双葉海,双葉王,双葉山,双葉島,双葉山
下北生島や津軽生島がある、東北地方の県は何県 ?,兵庫県,千葉県,山口県,青森県,青森県
源頼政によって退治されたという伝説がある、振の顔、牌の体、虎の手足、蛇の尾を持つ怪物は何 ?,くえ,ひえ,ぬえ,で ズ,ぬえ
次のうち、火をつけるための道具はとれ?,コッチ,アッナチ,マッナチ,ソッチ,マッナチ
テレビ番組で映像に字幕や画像を合成する技術のことを何という ?2,テロップ,ドロップ,プロップ,クロップ,テロップ
医学的には「膝蓋朋」と呼ばれる骨のことを、日常では「ひざの〇〇〇」 という?,谷,鉢,"ーー
に",中,中
「ソフトバンク」のCMでお父さん役を演じた「カイくん」はどんな動物 ?,任,,色,犬,犬
次のうち、クリミア戦争で看護に尽力したナイチンゲールにつけられた異名はどれ ?,クリミアの天使,クリミアの姫,クリミアの女王,クリミアの還,クリミアの天使
アドベンチャーゲーム 『オホーツクに消ゆ』の主な舞台となる都道府県はとどこ?,忠岡県,北海道,沖縄県,大阪府,北海道
次のうち、豆腐などを串に刺し、味唱を塗って焼いた料理はどれ 2?,田楽,田色,田悲,田豆,田楽
次のうち、楽器はどれ?,ダイオウイカ,ヤリイカ,バラライカ,スルメイカ,バラライカ
野球で、1塁、2塁、3塁すべてに走者がいる状態を何という ?,全呈,総塁,本塁,満塁,満塁
ウくひっ087Aヤパァだゴゴの ヨ|にあるのはどれ ?2,ブロンズ,ゴールデン,プラチナ,シルバー,ゴールデン
アメリカで毎年4月に開催される伝統の「マスターズ」といえば、どんなスポーツの大会 ?,ゴルフ,テニス,ラグビー,バスケットボール,ゴルフ
SKE48の『キスだって』、麻丘めぐみの『わたしの彼は』 の後ろに共通して付く言葉は何 ?,右投げ,右利き,左利き,左投げ,左利き
徳島市を中心に行われる、「踊る阿果に見る阿呆」という中子詞でおなじみの盆踊りは何 ?,讃岐おどり,土佐おどり,伊予おどり,阿波おどり,阿波おどり
ギターなどのコードを弾くときに、指で押さえていない弦を何という 2?2,開始弦,開発弦,開幕弦,開放弦,開放弦
世界最大級のアメリカの投資銀行「ゴールドマン・〇〇のO〇」。 のOO〇OO〇のは何 ?,ホルン,トロンボーン,チューバ,サックス,サックス
野球で、ランナーをアウトにするために野手がホームにボールを返すことを何という ?,バックホーム,ファールフライ,ヒットエンドラン,ダブルプレー,バックホーム
日本人選手も所属した「ケルン」や「フランクフルト」といえば、どこの国のサッカークラブ ?,フフランス,ドイツ,イタリア,スペイン,ドイツ
次のうち、パンを題材にしたグルメ漫画はどれ ?   _,そばもん,華衣なる食卓,焼きたて!!ジャぱん,おすもじっ!,焼きたて!!ジャぱん
アメリカの大学に由来するとされる、膨らんだ胴と長方形の底が特徴的な旅行かばんは何 ?,コロンビアバッグ,イエールバッグ,ハーバードバッグ,ボストンバッグ,ボストンバッグ
司馬遼太郎の小説『竜馬がゆく』の主人公、竜馬の名字は何?,坂本,竹本,山本,結本,坂本
人民英雄紀念碑や毛主席紀念富などが建つ、中国・北京にある広場は回角,天安門広場,赤の広場,コンコルド広場,トラファルガー広場,天安門広場
伊豆諸島において伊豆大島に次いで2番目に広い、「日本のハワイ」とも言われる島はどこ ?,二丈島,八丈島,四丈島,バハ丈島,八丈島
KPOPといえば、どこの国のポピュラー音楽 ?,中国,台湾,韓国,香港,韓国
"目了>4のだlr還すり 族を:ゆみアメミツ月にどか""4にゴちとく 2",Hs,Hz,Ht,Hr,Hz
映画『パルプ・フィクション』や『キル・ビル』などを手がけた映画監督は誰 ?,ウェルマン,ウォシャウスキー,ヴィスコンティ,タランティーノ,タランティーノ
「キリショー」の愛称で呼ばれる、ゴールデンボンバーのボーカルは上:壮4,哀川翔,綾小路翔,鬼龍院欧,中田翔,鬼龍院欧
精子の受精が終わった後の卵子のことを何という ?2,配偶卵,受精卵,合成卵,合体卵,受精卵
飛行機の機体にも使われる、アルミニウムなどから作られる合金は何 ?,ペグラミン,カルラミン,ジュラルミン,マイトミン,ジュラルミン
次のうち「ドラゴンクエスト」シリーズにお馴染みのモンスターは?,スライム,ぶにぶに,ジェル,シャボン,スライム
次のうち、水泳を題材にした漫画はどれ2?,左門くんはサモナー,ベストブルー,バディストライク,ものの歩,ベストブルー
空き巣など不正侵入に悪用される、特殊な問具を使って鍵を開ける行為を何という ?,フィッシング,ピッキング,ハッキング,リッピング,ピッキング
アニメ「サザエさん」でサザエさん一家が飼っているペットの名前は?,アナゴ,シロ,ポチ,タマ,タマ
サッカーW杯でMVPにも輝いたアル†ンチンの選手、リオネル・〇〇〇。〇つつ〇は何 ?,メッツ,メッンシ,メッキ,メッカ,メッンシ
次のうち、あだち充の野球漫画のタイトルにあるのはどれ?,ナイン,テン,エイト,セブン,ナイン
ヒトコブやフタコブなどの種類があとレンちる 円肝。,ナマケモノ,クジラ,ブタ,ラクダ,ラクダ
連載安全委員会、観光店、海上保安庁、気象庁が属する中央省庁はどご2,国土交通省,法務省,総務省,文部科学省,国土交通省
立法、行政、司法の3つをまとめて何という ?,三権,三上,三条,三方,三権
ペンネ Penne コンキリエカペッリーニ Capelliniといえば何?,スープの種類,パスタの種類,餃子ギョウザの種類,肉料理,パスタの種類
ファミコンゲーム『ぼくドラキュラくん』は何というゲームの外伝 ?,悪魔城ドラキュラ,魂斗維,グラディウス,ツインピビー,悪魔城ドラキュラ
ドラマ 『嗣る大捜査線』の主人公・青島俊作が所属していた警察財はどご2,お台場署,山手中央賭,新品節者,湾岸署,湾岸署
"レン)

和楽

携帯音楽プレーヤー 「ウォーク
マン」を製造・販売しているメーカーはとどこ?",PanaSonlc,TOYOTA,SONY,Apple,SONY
ゲーム『マリオブラザーズ』の1面で、敵として登場するのは次のうちとれ?,イカ,カメ,カニ,ハエ,カメ
プロ野球で、シーズン開始直後に連勝し他チームとの差をつけることを俗に何という ?,開幕ダッシュ,ピンポンダッシュ,鉄腕ダッシュ,Bダッシュ,開幕ダッシュ
次のうち、 年齢が一番上である俳優に誰?,,菅田将暗,松坂枕李,水谷豊,水谷豊
次のアニメのうち、放送開始が最も早かった作品はどれ?,ふたりはプリキュア,魔法少女まどか革マギカ,ひみつのアッコちゃん,姫ちゃんのリボン,ひみつのアッコちゃん
ルーブル美術館やベルサイコユ宮殿があるヨーロッパの国はどこ 3,フフランス,インド,ブラジル,オーストラリア,フフランス
次のうち、価格が下落してしまい、売れないまま長期間保有している株のことを指す言葉は何 ?,醤油漬け,砂糖漬け,塩漬け,わさび漬け,塩漬け
吐交ダンスで、四拍子の速い踊り方のことを何ステップという ?,スロー,クイック,テデテッド,ヘビー,クイック
クイズ仕立ての越後製菓のCMで解答者役を務めることでお馴染みの俳優は誰 ?,片岡鶴太郎,船越英一郎,松邊健,高橋英樹,高橋英樹
次のうち、夏の日本に暑く混った気候をもたらす高気圧はどれ ?,大西洋高気圧,インド洋高気圧,太邊洋高気圧,南大洋高気圧,太邊洋高気圧
次のうち、人間の白血球の分類にあとをのちすっ62   「,パンパ球,デンパ球,テンパ球,リンパ球,リンパ球
次のうち、貝はどれ?,シタテ,ミタテ,ホタテ,カタテ,ホタテ
次のうち、毒を持っているへヘビはどれ 2?,アオダイショワウ,ニシキヘへヘビ,アナコンダ,マムシ,マムシ
近年、健康効果が注目されているお茶に含まれる苦み成分は何?,メラフラニン,ビタミンB1,カテキン,ソラフニン,カテキン
「ツタンカーメン」といえば、 古代のPPき1【ひたはと:導/,エジプト,ギリシャ,ベトナム,ブラジル,エジプト
レンcsc^とglと導コアシル/す4の際にボールを中る役目の選手を何という2,ロッカー,キッカー,フッカー,サッカー,キッカー
野球で「トリプルプレー」という時、取られたアウトはいくつ?,4つ,1つ,2Zつ,3つ,3つ
57度17分を1とする、国際単位系で定められている角度の単位は何?,アジアン,メジアン,タジアン,ラジアン,ラジアン
ILOVE&HONEY』」などのヒット曲でられる、「エロカッコカワイイ」女性歌手といえば誰 ?,浜崎あゆみ,大塚愛,倖田來未,"安
至奈美恵",倖田來未
宇宙生物と少年エリオットが人差し指を合わせるシーンが有名な、スピルバーグ監督の映画は何 ?,E.T.,A.|.,C.S.,G.U.,E.T.
アニメ「サザエさん』のサザエさん一家で、小学校に通っているのは何人 ?,1人,2人,3人,4人,2人
次のうち、銀行のATMで、預金を預け入れたり引き出したりするのに使うカードはどれ?,メンバーズカード,ポイントカード,キャッシュカード,プリペイドカード,キャッシュカード
野球部の女子マネ。 マネって何の略 ?,マネージャー,マンネリ,マヨネーズ,マネー,マネージャー
次のうち、必ず国会議員でなければならない和役職はどれ 2?,内閣総理大臣,文部科学大臣,防衛大臣,外務大臣,内閣総理大臣
クレヨンしんちゃんの妹の名前は?,ひまわり,ごくら,ゆり,すみれ,ひまわり
次のうち、オリンピックのシンボルマークの輪の色に使われている色はとれ?,"字
月",欄,銀,災,"字
月"
中崎裕の漫画『なでしこシュート ! 』の題材となっているスポーツは何 ?,ラグビー,サッカー,バレーボール,バスケットボール,サッカー
次のうち、オリエンタルラジオの藤森填難について正しいことはどれ?,眼鏡をかけている,髪の毛がない,金田哲が相方,女性である,眼鏡をかけている
酸素などを入れる金属の容器のことを何という?,ポンチ,ボンジ,ボンド,ボンベ,ボンベ
ドラマ『ガリレオ』シリーズで、主人公の湯川学を演じたのは誰 ?,阿部覧,山雅治,坂口憲二,反町隆史,山雅治
ブレンダーともいう、妃を回転させて果実・野茶などを細かく砕く調理娠具は何?,ボクサー,センサー,ミキサー,アラサー,ミキサー
マンガ「ドラえもん」に登場するガキ大将・剛田武のニックネームはどれ?,ブタゴリラ,カバ夫,ジャイアン,ゴジラ,ジャイアン
マジックの用語で、「カード」といえば、普通、:,タロット,UNO,化札,トランプ,トランプ
日本文学で「三大随筆」といわれる作品は、『徒然草』『方丈記』と回角,枕花子,枕葉子,枕草子,枕木子,枕草子
次のうち、渡辺謙や柳葉敏郎らもかつて所属していた劇団・芸能事務所はとどこ?,劇団あじさい,劇団ゆり,劇団ひまわり,劇団ばら,劇団ひまわり
次のうち、ゴスペラーズの楽曲名とFUNKY MONKEY BABYSの楽曲名に共するものはとどとれ?,丘黒,告銀,皇日,千金,皇日
ラグビーで「ノーサイド」といえば、次のうち何を表す?,負傷退場,大逆転,観客の大声援,試合終了,試合終了
次のうち、ひぐちアサの野球漫画のタイトルにあるのはどれ?,ちいさく振りかぶって,長く振りかぶって,短く振りかぶって,おおきく振りかぶって,おおきく振りかぶって
正岡子規の援助により1897年に創刊した俳句雑誌は何 ?      「,ジャンプ,ホトトギス,ベースボールマガジン,Orr「1O,ホトトギス
化合物の中でも、炭素を含むものを総称して何という?,有械化合物,無械化合物,無機化合物,有機化合物,有機化合物
"ローマ定話の夜明けの女紳に由来する、日本語で「極光
本語で「極光」ともいう現角は何 ?",ブロッケン現象,バックドラフト,プロミネンス,オーロラ,オーロラ
"野球で、日本語では「無安打無得点試合」
と表
記さ
れるものは何
ロ| 2",ノーヒットノーラン,フィルダースチョイス,フリーエージェント,ワンボイントリリーフ,ノーヒットノーラン
"「こだま」や「エコー」とも呼ばれる、音が山や昌
壁に当たって
ー    返って
くる現象を何という ?",条育,山彦,川彦,海彦,山彦
イタリア・セリエAのサッカークラブ、インテルが本拠地を置く都市はとどこ?,ローマ,ミラフノ,フィレンツェ,トリノ,ミラフノ
水族館でもおなじみのベルーガの別名は何 ?                      「,ハイイルカ,アオイルカ,シロイルカ,クロイルカ,シロイルカ
サッカーやラグビーで、片方のチームの陣地を指す言葉はどれ ?,フロント,ダウン,サイド,アップ,サイド
注意された者が、注意した者に対して怒りの感情を表すことを俗に何という ?,裏ギレ,対ギレ,逆ギレ,反ギレ,逆ギレ
日本の硬貨のうち、重さが最も軽いのは何円硬資 ?,5円硬貨,10円硬貨,100円硬貨,1円硬貸,1円硬貸
抗酸化作用や抗菌作用などがある、緑茶に含まれる渋み成分は何 ?,リコピン,カテキン,メラフラニン,ソラフニン,カテキン
アメリカの学者・フランクリンが、雪の正体を明らかにした実験で使った道具は次のうちどれ?,こま,水風船,けん玉,たこ,たこ
若者言葉で、「トッポギ」といえば、突然どこに行くこと ?,新伯,導本木,渋谷,お台場,導本木
略して「オバQ」と呼ばれる、藤子不二雄の漫画は何?    「,ドラえもん,パーマン,オバケのQ太郎,怪物くん,オバケのQ太郎
チョッキともいう、袖のない短い胴着のことを何という ?,ベター,ワースト,グッド,ベスト,ベスト
夜明け頃に東の空に見える金星のことを、特に何という 2,明けの明星,夕聞の明星,宜の明星,白昼の明星,明けの明星
サラダなど主食以外のメニューは「〇OO〇OO〇メニュー」という。〇〇〇に,サイド,タイド,ハイド,ロイド,サイド
"浅野りんの漫画『京沼れぎおん』の舞台と
な
つ
て
い
る都道府県
県はどこ
こ ブ",奈良,兵庫,大阪,京都,京都
次のうち、サルの種類にあるのはとれ 2?,コートヒヒ,ショールヒヒ,ブレザーヒヒ,マントヒヒ,マントヒヒ
中学生の少女、佐倉魔美を主人公とした上藤子・F・不二雄の漫画は !C)〇つ〇魔類』。〇〇〇は ?,テンパー,エスパー,ペーパー,アイパー,エスパー
サッカー日本代表として活躍した「ほんだけいすけ」。 正しい漢字表記は、次のうちどれ ?,本田詩輔,本田詩佑,本田圭助,本田敬佑,本田詩佑
寿司ネタで、卵焼きのことを俗に何という ?             「,チョク,ショク,ギョク,リョク,ギョク
富良野市、北見市、岩見沢市などの市がある都道府県はどこ ?2,広島県,,岐阜県,北海首,北海首
ひる28還=レさクノににクルE:和2j 24多く存在する場所として正しいのはとれ?,内陸部,"海治し
い",都市部,人工島の上,"海治し
い"
「ナースキャップ」といえば、どんな職業の人がかぶる帽子 ?,看護師,パイロット,シンエフ,引越し屋,看護師
格闘技で、ラウンド開始や試合中断からの再開時にレフェリーがかける合図は何 ?,グレート !,ダッシュ !,ファイト !,スマッシュ !,ファイト !
"落語で
*、本題
 に和信
る前に話す
話す ち
よつとした話のことを何という ?",ベッド,マクラ,シーツ,ハンモック,マクラ
キャベツを使ったサラダ「〇C〇COサラダ」。〇〇〇は何 ?,オーバースロー,アンダースロー,コールズスズロー,サイドスロー,コールズスズロー
別國漫画ゴラクの漫画『御様がくれた背番号』の題材となっているスポた2,柔道,テニス,野球,ゴルフ,野球
メジャーの試合が行われる「ヤンキー・スタジアム」があるアメリカの都市はどこ?,ボストン,シカゴ,ニューヨーク,ロサンゼルス,ニューヨーク
ソフトボールで主流となっている、腕を大きく一回転させるピッチャーの投法は何 ?,スリークウォーター,スリングショット,エイトフィギュア,ウインドミル,ウインドミル
化学式「H20」で表される物質は何?,アンモニア,水,二酸化炭素,塩酸,水
森尾正博の漫画 『ビーチスターズ」は、どんなスポーツを描いた作品 ?,アイスホッケー,ソフトテニス,ビーチバレー,ラクロス,ビーチバレー
俳優の堺雅人との電撃婚を発表した女優は誰 ?,仲間由紀恵,観月ありさ,松嶋朱々子,営野美穂,営野美穂
赤石路代の漫画『鎌倉けしや闇絵巻』の舞台となっている都道府県はとどこ?,千葉県,山梨県,埼玉県,碧奈川県,碧奈川県
白居易の『長恨歌』の題材にもなった、中国・唐の玄宗皇帝の妃といえば誰 ?,西施,楊貴妃,土昭君,謀美人,楊貴妃
1337年に起きた「百年戦争」で戦った国は、イギリスとどこ?,イタリア,日本,フラフランス,アメリカ,フラフランス
Jリーグのクラブ、ヴァンフォーレ甲府の「ヴァンフォーレ」の由来となった、武田信玄の旗印は何 ?,興味津々,五色段々,永楽通宝,風林火山,風林火山
佐藤健が「人斬り抜刀斎」を演じた、漫画を原作とした映画は何 ?,へうけげもの,バガボンド,化の慶次,るろうに剣心,るろうに剣心
湊かなえの小説が原作となった、松たか子主演の映画のタイトルは何 ?,丘別,告知,丘発,生日,生日
草話のヒロイン・シンデレラが、舞路会に履いて行ったのはどんな軒 ?,スリッパ,下駄,スニーカー,ガラスの靴,ガラスの靴
海外の映画のことを「洋画」というのに対し、日本の映画のことを何という ?,国画,和画,邦画,日画,邦画
イタイイタイ病の原因物質としても知られる、原子番号48の元素は何 ?,アドミウム,サドミウム,タドミウム,カドミウム,カドミウム
ウルメやカタクチなどの種類がある、雲の名前にもなっている魚は回角,カツオ,アンジ,サンマ,イワシ,イワシ
次のうち、イギリスやアメリカの政守政治体制が当てはまるのはどれ ?,四大政党制,八大政党制,十六大政党制,二大政党制,二大政党制
小中学校の音楽の授業で使われる、「縦笛」とも呼ばれる笛はどれ ?,レコーダー,リコーダー,エンコーダー,デコーダー,リコーダー
漫画!銀魂」に登場する次の人物のうち、女性は誰 ?,志村新八,坂田銀時,,斬楽,斬楽
蒸留酒のバーボンの原料となる穀物生和回記2,タマネギ,ダイコン,コメ,トウモロコシ,トウモロコシ
友禅染の発舌地で、「着倒れの都」とも呼ばれる都市はどこ 2,三重,京都,大阪,和歌山,京都
対戦ゲーム『電脳戦機バーチャロン』で、プレイヤーが操作するのはのひjpまっず< 4,モンスター,巨大ロボット,宇宙人,F1カー,巨大ロボット
テレビ番組『7つの海を楽しもう ! 世界さまぁンリゾート』のMCを務めてるお笑いコンビは何 ?,キャイン,くりいむしちゅ一,さまあぁてず,千原兄弟,さまあぁてず
ひげをはやすことと、お金を貯めることに共通する言葉は何 ?,とどめる,たくわえる,そろえる,かくす,たくわえる
次のうち、中国の歴史書『三国志の「三国」には含まれない国はどれ?,嘩,唐,婦,所,唐
姿勢や呼吸法を重富する修行法・ヨガの発詳国はどこ ?   _,サウジアラビア,トルコ,インド,日本,インド
ゴルフ用語で「テディンプル」といえは何のこと?      -,バンカーの砂の深さ,ボール表面のくぼみ,各ホールの距離,グリーンの芝の長さ,ボール表面のくぼみ
歌手・森山良子の息子である、シンガーソングライターは誰 ?,森山直太朗,森山優人次朗,森山孝四朗,条山秀三朗,森山直太朗
工藤かずやと池上遼一の漫画『信長』」の舞台となっている国はどこ 2?,日本,フフンス,アメリカ,中国,日本
地図記号で、家の中に杖が描かれた記号で表される施設は何 ?,老人ホーム,飼察者,図書館,泊防才,老人ホーム
トランプを切ったり、順番をバラバラにして混ぜることを英語で何という?,シャッフル,ユニット,ポピュラー,リズム,シャッフル
唱歌『夏の思い出』にも歌われている、湿原に白い花を喘かせる植物は何 ?,火釧焦,土色焦,風釧焦,水双焦,水双焦
アニメ『バビル2世』に登場するバビル2世のしもべで、主に海で活躍するのはとれ?,ポセイドン,ロデム,"ーー
ヨミ
ee",ロプロス,ポセイドン
次の浦沢直樹の漫画のうち、タイトルに主人公の名前が使われている作ロロはとれ?,Happy!,MONSTER,YAWARAI,20世紀少年,YAWARAI
アンデルセンの童話『人魚姫』で、人魚姫が人間となるために失ったものは何 ?,聴力,"ーー
リー",富力,味覚,"ーー
リー"
ドラマ『CHANGE』 『MR_.BRAIN』 『!ンジン』などで主人公を演じたのは次のうち誰 ?,香取慎吾,中居正広,木村拓哉,稲垣台郎,木村拓哉
スキーで使うストックは、普通、片で何本持つ ?,4本,2本,3本,1本,1本
次のうち、水中に入れた時に沈まない物質はどれ ?    「,氏,鉄,水,金,水
うすのろ、豚のしっぽ、ババ抜きと言えは、何を用いたゲームの事?,UNO,花札,タロットカード,トランプ,トランプ
次のうち、ジャガイモの皮を鏡に直接塗ることによる効果はどれ2?,鏡が曇りにくくなる,鐘の色が赤くなる,鏡が割れにくくなる,時が膨張して大きくなる,鏡が曇りにくくなる
水の圧力を用いて物を圧縮したり切断したりできる特殊な機械を何といつ ?,ボディプレス,電庄プレス,水圧プレス,気圧プレス,水圧プレス
双子の女優姉妹で、姉が三倉病奈なら、その人妹は誰 ?,三倉佳奈,三倉佐奈,三倉田奈,三倉阿奈,三倉佳奈
三日熱や四日熱という種類がある、ハマダラカなどを媒介して感染する病気は何 ?,マラマクベス,マラハムレット,マラオセロ,マラリア,マラリア
パターゴルフで使われるクラブの種半,4種類,2種類,1種類,3種類,1種類
次のうち、ヒトの「心臓」が担っている機能はどれ ?   -,全身への血液の送出,アルコールの分解,血液中の老廃物のろ過,食べ物の貯留,全身への血液の送出
次のうち、農家を舞台にしたニ二ノ宮知子の湿画はどれ ?,RED,WHITE,GREEN,BLACK,GREEN
次のうち、楽器はどれ?,スラム,カラム,コラム,ドラム,ドラム
アニメ 『妖怪ウォッチ』に登場する次の妖怪のうち、「コマじろう」という 双子のがいるのは誰 ?,メラメライオン,ジバニャン,コマさん,ウィスパー,コマさん
