Q,K1,K2,K3,K4,A
組曲『アルルの女』 やオペラ『カルメン』を作曲した、19世紀のフランスの音楽家は誰?,サンニサーンス,ビゼー,ラヴェル,エリック・サティ,サンニサーンス
原子量の基準となっている、炭素の原子量はいくつ ?,6,24,18,12,12
植物のグァバやユーカリが属する科は何科 ?,ツマサキ科,クルブシ科,フトモモ科,シタバラ科,ツマサキ科
次のうち、『世界のアソビ大全51』[収録されていないゲームはどれ2,硫雀,囲碁,,化札,囲碁
"次の原子や分子の間に働く力のうち、最も結合の力が
が弱いものはどれ?",水素結合,金属結合,共有結合,イオン結合,水素結合
イルカのヒット曲「なごり雪」を作詞・作曲したのは?        「,南こうせつ,伊勢正三,さだまさし,谷村新司,伊勢正三
ゲーム「九急-Kuon-」の、メインビジュアルを担当した画家といえはば?,智内兄助,山田章博,秩脇正人,中島潔,智内兄助
アイスホッケーで、スティックのブレードの先で相手を突く反則を何という?,スラッシング,クリッピング,フッキング,スピアリング,スピアリング
ダイバーの間で「GT」と呼ばれる、世界最大のアジは何 ?,タイガクアジ,ロウニンアジ,リュウネンアジ,テイガクアジ,タイガクアジ
次のうち、エルサレムを聖地としていない宗教はどれ?,ユダヤ教,イスラム教,仏教,キリスト教,仏教
谷亮子といえば元柔道選手ですが、岡本依子といえばどんな競技の元選,アマチュアレスリング,ボクシング,柔道,テコンドー,テコンドー
日本で初めてのランドセルは、次のうち誰の学避院入学にあたって献上されたと言われている?,昭和天皇,孝明天皇,明治天皇,大正天旦,大正天旦
俳優の松坂桃李の「桃李」という名前は、次のうち何に書かれている言葉から取られたもの ?,史記,"人ム三五
ロ朋ロロ",孫子,渓書,史記
次のうち、冬季オリンピックの開催年にはならない干支はどれ ?,未年,買年,午年,成年,未年
写真週刊誌「Emma」が創刊されたのは何年?           」     ーー,1984年,1985年,1999年,1995年,1984年
ゴルフ用語「イップス」の命名者は誰?,テッド・レイ,フレッド・ハード,サム・パークス,トミー・アーマー,トミー・アーマー
国際連合の専門機関「国際労働機関」を、アルファベット3文字の略称で何という ?,ILO,ICU,ISO,IOC,ILO
一般的な花札で、3月の札に描かれている植物は何2,ボタン,サクラ,キク,アヤメ,サクラ
次のうち、サッカー漫画は!,Jドリーム,あぶさん,キャプテン,巨人の是,Jドリーム
日本の都道府県のうち、8つと最も多くの県と接しているのはどこ2?,長野県,,奈良県,岐阜県,長野県
次の果物の内、「!ホームラン」という品種があるのはどれ?,リンゴ,スイカ,ブドウ,メロン,メロン
レジルだロレ KGの上ツルン:1を操縦するのは流竜馬ですがゲッター2を操縦するのは?,一文字競,巴武蔵,流竜馬,紳隼人,一文字競
次のうち、世界遺産を保有していな軸1Eち光導                「,ブータン王国,レバノン共和国,朝鮮民主主義人民共和国,ルクセンブルク大公国,ブータン王国
ゴルフのドライバーの反発係数を表すアルファベット3文字は何 ?,NIP,KGA,SUS,COR,COR
万引きGメンや食品Gメンといったときの「G」とはなんのこと ?,ギャランティ,ガバメント,ガード,ギルティ,ガバメント
映画「七人の侍」の生き残りではない侍は誰2? 。,五郎兵衛,勘兵衛,七郎次,勝四郎,五郎兵衛
香取慎吾と山下智久によって結成されたユニットは次のうちどれ?,トラジ・ハイジ,The MONSTERS,たのきんトリオ,NYC,The MONSTERS
「デイ・アフター・トウゥウモロー』『2012』】などのディザスタームービーで有名な映画監督は誰 ?,マイケル・ベイ,エメリッヒ,キャメロン,スピルバーグ,エメリッヒ
出雲阿国が創始したとされる、日本の伝統芸能は何 ?,"台ヒ
BE",狂言,歌舞伎,今欄,歌舞伎
プロ野球独立リーグ球団「〇〇マン3リンパイレーツ」。〇〇に入る県は人,高知,香川,愛髪,千島,高知
唱歌「かあさんの歌」の2番の歌詞で、かあさんがつむいでいるものはどれ?,太糸,木縄糸,毛糸,,太糸
jpまっ8還コル【 にヨルッルっミル】たすずれ 2?,ブルー,レア,ミディアム,ウェルダン,レア
種無しブドウを作る際に用いられる物質「ジベレリン」は、元々何の病気を研究する中で発見された ?,ブドウ,トマト,イネ,ジャガイモ,イネ
ソチオリンピックの女子フィギュアスケートで金メダルを獲得した、口シアの選手は誰 ?,ソトニコワ,プルシェンコ,アフマートワ,ライサチェク,ソトニコワ
「ハムレット』の作者はシェークスピアですが、『新ハムレット』の作者である日本の文豪は誰 ?,森了鳴外,代川龍之介,夏目激石,太宰治,太宰治
「救国のオレンジ』という副題の続編が連載されている、曽田正人と晶山玖呂の漫画は何 ?,修維の門,ANGEL BEAT,め組の大吾,鉄源チンミ,め組の大吾
"東海道本線は、東京駅と何駅との間を結ぶ
路線?",三ノ宮,新大阪,碧戸,大阪,碧戸
ヴィジュアル系バンドの熱心なファンである女性のことを、俗に何という?,Vガール,バンギャル,バンガール,Vギャル,バンギャル
小説 『ジキル博士とハイド氏』や宝島』などで知られる、イギリスの作家は誰 ?,ルイス・キャロル,スチーブンソン,シェークスピア,ディケンズ,スチーブンソン
歌舞伎の演目で、盗賊が主人公のものを特に何という ?,立浪物,日浪物,黒浪物,元混物,日浪物
「輪行袋」とは何を電車で運ぶための袋 ?,自動車のタイヤ,浮き輸,指輪,目転車,目転車
次のうち、世界記録が「女子>男子」CVの】ちす2ル4且2      ーー,ハンマー投げ,やり投げ,円盤投げ,砲丸投げ,円盤投げ
テニスのウィンブルドンの公式ボールに指定されているブランドは何 ?,リーボック,スラセンジャー,ダンロップ,ノックス,スラセンジャー
"ゴルフで、18ホールのスコアを、イン、アウト、トータルの3つに分けて就い合うプ
レー
方式を何という ?",ツームストーン,ナッソー,オネストジョン,シュートアウト,ナッソー
詩町時代に起きた応仁の乱で、東軍の総大将を務めた武将は誰 ?,細川勝元,徳川家康,山名宗全,毛利輝元,細川勝元
局武外骨が1901年1月大阪で創刊した時局調刺雑誌のタイトルとは?,滑稽新聞,環智と滑策,時事と新報,頓智協会雑誌,滑稽新聞
代表作に『パルムの僧院』や『赤と里』 があるフランスの作家は誰 ?,スタンダール,オーウェル,ダンテ,へミングウェイ,スタンダール
『週刊少年マガジン』の漫画『せっかち伯劉と時間どろぼう』の作者は上:壮4,赤松健,兄木央,久保ミツロウ,久米田康治,久米田康治
お53EヨDE間に10 17パ1 AIのKGスパイの黄皆の子どもを演じる女のゴの名前は何 ?,ソーニャ,アーニャ,ダーニャ,マーニャ,アーニャ
「ドラゴンクエストVI 幻の大地」の主人公の、現実世界での職業は?,魔法使い,さすらいの剣士,大工,土子,土子
ゆうきゆう原作の漫画『おとなの1ページ心理学』 『マンガで分かる心療内科』の作画をしているのは誰 ?,サイ,ソウ,コン,カン,ソウ
大相撲の決まり手で実際にあるのはウムjpちっす2ル 4,巴投げ,大外刈り,腕ひしぎ十字固め,ー本背負い,ー本背負い
次の元素のうち、名前の由来が人名GyZN夫そうYひ】ちすっル 6,プルトニウム,レントゲニウム,ノーベリウム,フェルミウム,プルトニウム
中国を支配した最後の統一王朝である「清」の初代皇帝は誰7?,メルヨン,ヌルナナ,メルハナ,ヌルロク,メルハナ
ドラえもんの座高の高さは?,91cm,129.3cm,100cm,123.9cm,100cm
東大地震研究所のルーツである「震災予防調査会」が発足するきっかけとなった1891年の大地震は何 ?,濃尾地震,三陸沖地震,芸予地震,関東大震災,濃尾地震
山岳救助大が首にさげたタルには何が入っている?,酒,パン,電話番号,水,酒
次のうち、ホッケーの試合開始はどれ 2?,キックオフ,フェイスオフ,センターパス,ジャンプボール,センターパス
トに注いで人茶葉に対流運動を起こさせることを何という ?,ホッピング,フローティング,ジャンピング,ウェービング,ジャンピング
次のうちドイツのプロサッカーリーグ、ブンデスリーガの所属クラブにあるのはとどれ?,ヘルタ・ミュンヘン,ヘルタ・ケルン,ヘルタ・ベルリン,ヘルタダ・ボン,ヘルタ・ベルリン
タレントの「ひろ」、モデル・歌手の「まりや」。この姉妹の名字は何 ?,西内,数内,竹内,大内,西内
水の重さが最も重くなるのは温度が摂氏何度の時 ?,TC,2のC,さきC,4C,4C
IPにににゴゴあの.るりルクルッルプ=州で生まれた、サラダバーでおなじみのレストランは何 ?,アドラー,マドラー,シズラー,ボイラー,シズラー
「ナンバーズ」で、並びが違っていても選んだ数字が全て含まれていれば当りとなる買い方を何という ?,ワイド,チェンジ,ランダム,ボックス,ボックス
「タやけニャンニャン」の番組開始当初、おニャン子クラブの会員番号は何番までいた?,会員番号8番,会員番号9番,会員番号12番,会員番号11番,会員番号11番
カノッサ事件でハインリヒ4世を屈服させた教手は誰 ?,グレゴリウス7世,インノケンティウス3世,ウルバヌス2世,レオ10世,グレゴリウス7世
東西の冷戦時代に「東側(往会主義陣営)」に属していた国は、次のうらまありJE,ルーマニア,イタリア,イスラフエル,フフンス,ルーマニア
ゾウリムシは単細胞の動物プランクトンですが、ワラジムシが分類されとの)】ちひまっす< 2,軟体類,甲殻類,昆虫類,多足類,甲殻類
ゲーム 『!妖怪ウォッチバスターズ』で同時発売された2つのバージョンは、『赤猫団』 と何?,紅犬際,青犬際,白犬際,黒大際,白犬際
日本で初めてのランドセルは、次のうち誰の学避院入学にあたって献上されたと言われている?,孝明天皇,昭和天皇,大正天皇,明治天旦,大正天皇
『New Challenger』 『Rising』」といえば、何というボクシングアニメの続編 ?,あしたのジョー,がんばれ元気,リングにかけろ,はじめの一歩,はじめの一歩
大泉文学の地位を大幅に高めたとさオる、『宮本武蔵』や『三国志』などて知られる小説家は誰 ?,山岡荘八,可馬遼太郎,吉川英治,新田次朗,吉川英治
詩町幕府の第8代将軍は誰?,足利義政,足利義満,足利義昭,足利価氏,足利義政
日本の地方裁剤所の本庁はいくつある 2,4/,つら,62,S0,4/
次のうち、容器の中に素焼きの隔壁が置かれている電池はどれ 2?,,ダニエル電池,エジソン電池,ボルタ電池,ダニエル電池
次のうち、最も数が多いのはどれ ?,太陽系の惑星,ヒトの大人の歯,IAUが定めた現在の星座,現在知られている元素,現在知られている元素
代表作に「博士の愛した数式」がある女性作家は?      」,角田光代,省中洋子,川上弘美,江國香織,省中洋子
| Feel Good』」などのヒット曲がある、「ファンクの帝王」とも呼ばれたアメリカの歌手は誰 ?,ジェームス・ブラウン,エルビス・プレスリー,フランク・シナトラ,マイケル・ジャクソン,ジェームス・ブラウン
テニスの全衰オープンは、毎年何月カら開催される ?       ー,3月,1月,6月,月,1月
アニメ化もされた漫画『ご注文はうこきですか?』の作者は誰 ?,くろば・U,KOI,石見翔子,原悠衣,KOI
その長い毛は「モヘア」と呼ばれ、織物の原料となる、トルコ原産のヤギの品種は何 ?,アンゴラヤギ,エジプトヤギ,モロッコヤギ,ウガンダヤギ,アンゴラヤギ
アニメ『ヒーリングっど・プリキュア』で、キュアスパークルに変身する女の子の名前は何 ?,在光ひなた,花寺のどか,沢泉ちゆ,星奈ひかる,在光ひなた
伊調毅や吉田沙保里の出身大学として知られる、愛知県の大学はどこ ?,愛知大学,愛知学院大学,至学館大学,名城大学,至学館大学
大相撲の土依の中央に引かれている2本の仕切り線の間隔は何cm ?,30Cm,70cm,50cm,90cm,70cm
『カエルの王女さま』や【『qglee』で話題しなった、ダンスと合喝を組合わせたパフォーマンスは何 ?,タイトルナンバー,ショークワイア,アンサンブル,ブロードウェイ,ショークワイア
全日本空較がローンチカスタマーとなっているボーイング征の航空機型式は?,///,74/,78/,75/,78/
雑誌 『デザート』に連載されていた漫画『となりの怪物くん』の作者は上:壮4,タアモ,那波マオ,丘上あい,ろびこ,ろびこ
南フランスで、冬になるとローヌ有川沿いの地方に吹き降ろす、冷たく乾燥した北風を何と呼ぶ?,ブリザード,ハルマッタン,ミストラル,フェーン,ミストラル
足のつま先から甲までを覆い、貴だけ出したサンダルを何という?,サポボサンダル,カボサンダル,タボサンダル,アボサンダル,サポボサンダル
のクションル:作革ジロピコンたゴムハニレ(チームでプレーしていた、イタリアのセリエAのサッカークラブは何 ?,ナポリ,パレルモ,ラツィオ,パルマ,ナポリ
アニメ「まいっちんぐマチコ先生」でマナチコ先生の好物は何?,さつねうどん,てんぷらうどん,カレーうどん,月見うとん,カレーうどん
折りたたみ式の大きなフードのような婦人帽を何という?,カプリーナ,カブリオレ,ワイドハット,レイヤーハット,カプリーナ
お笑いコンビ、ラランドの2人のメンバーがともに入学した大学は何大学 :,青山学院大学,上智大学,慶應義塾大学,中央大学,青山学院大学
次のうち、江戸時代が続いた年数に最も近いものはどれ ?,260年,210年,110年,160年,260年
フリースタイルスキーのモーグルで、2人が同時に滑って競技を行う方式を何という ?,デュアルモーグル,ペアモーグル,ダブルモーグル,アベックモーグル,デュアルモーグル
テレビ番組『きかんしゃトーマス」で、車体番号2番の機関車の名前は回角,ヘンリー,エドワード,ゴードン,ジェームス,エドワード
次のうち、第2回三頭政治に数えられない政治家は誰?,アントニウス,レビドゥス,オクタビアヌス,クラッスス,クラッスス
大阪で「グランシャトー」がある繁華街は?                    -,京橋,十三,難波,南森町,京橋
生物における、受精卵から成体までの成長の過程を何と呼ぶ?,分化,誕生,発生,細胞増殖,発生
化学で用いられる「質量保存の法則」を発見した化学者は誰 ?,プルースト,プリーストリー,アボガドロ,ラボアジェ,プルースト
「ドラゴンクエストV天空の花嫁」の主人公の故卿はどこ?,サンローズ,パパス,サンタローズ,サンタクロース,サンタローズ
オリンピックで聖火リレーが初めて導入されたのは、どこの都市で開催された大会 ?,ローマ,ロンドン,ベルリン,アテネ,ベルリン
劇場版「機動戦士ガンダム川めぐりあいり宇宙編」で、ハヤトが乗っていた機体は?,ガンキャノン,ガンタンク,ジオング,ジム,ガンキャノン
名古屋市でない区は?,中央区,名東区,中区,熱田区,中央区
まっすぐで長く、先細で和失端でとがり、後方に保持する犬の尾を次のうち何という2?,ディップテール,ウィップテール,カットテール,マッドテール,ウィップテール
電気回路で使う 「 ヒューズ」は、贅のうちどれにあたる2,スイッチ,抵折,安全器,電源,安全器
入会条件を上位2%のIQを有する者に限定した団体の名称はどれ?,メンサ,コムサ,ミント,セント,メンサ
別名を「ア式蹴球」というスポーツは何 ?   ーー,クリケット,サッカー,テニス,野球,サッカー
往年のヤンキースの名選手、C)〇つ・ゲーリッグ。〇〇〇に入る名前は何 ?,ルー,Iリ一,レー,フ 一,ルー
岐阜県の地名にちなんで名づけられた、 「味瓜」とも呼ばれるウリの種類は何 ?,オロシウリ,クスリウリ,タタキウリ,マクワウリ,マクワウリ
香港の地下鉄に実際にある駅名は?,ジョーダン,ギャグ,ダジャレ,オチ,ジョーダン
「大塩企八郎は〇学者である」〇に入る言葉は何?       」,国,陽明,朱子,蘭,陽明
チャン・ドンコゴンが「あなたの肌が大好きです」と叫んだことでも話題となったのは、どこのCM 2,ポーラ,ニッピ,資生堂,オージオ,オージオ
ナミブ砂漠に生息する、2枚の葉が長く伸び続けるという不思議な植物「ウェルウィッチア」の和名は何 ?,フクザツカイキ,チミモウリョウ,キソウテンガイ,マカフシギ,キソウテンガイ
オグリキャップ、オグリローマンの母は?,ホワイトナルビー,ブルーサンダー,レッドバロン,イエローキャップ,ホワイトナルビー
ゴルフで、雨などによってゴルフコースに一時的にできた水溜りのことを何という ?,オッドウォーター,レギュラーウォーター,カジュアルウォーター,フォーマルウォーター,カジュアルウォーター
マリリン・モンローの葬儀で、喪主を務めた人物は誰?,ジョー・ディマジオ,ロバート・ケネディ,アーサー・ミラー,アンディ・ウォーホル,ジョー・ディマジオ
_ 小説『コンセント』『アンテナ』『モザイク』などを書いた作家は上:壮4,田口サンディ,田口アンディ,田ロランディ,田口メンディ,田ロランディ
漫画 !食戦のソーマ』で、主人公の幸在創真が入学した名門料理学校のと2たる円4,端月学園,遠月学園,峰月学園,含月学園,遠月学園
次のうち、サントリーが作っているお茶はどれ2?,爽健美茶,伊右衛門,おていお茶,綾鷹,伊右衛門
次のうち坂本真綾の曲ではないのはとれ2?,Gift,ループ,サバイバル,プラチナ,サバイバル
国宝 「風利害利図」の原画の作者とされるのは2?     -,,尾形光正,葛飾北斎,喜多川歌座,
別名を「枯草熱」ともいう病気は円時,夜言症,バセドウ病,化粉症,リウマチ,夜言症
公式ルールによれば、ゲートボールの試合中、ゴールポールはいくつ使用される ?,1つ,4つ,3つ,2Zつ,1つ
グラビアでも活躍する女優の日比美上と大原優力がかつて所属していたグループは何 ?,Dream5,folder,HKT48,さくら学院,Dream5
漫画「グラップラー巡牙」で、主人2の範馬刀牙が地下闘技場で対戦した紐切りを必殺技とする人物は誰?,化山薫,包史昇,鍋紅葉,愚地独歩,包史昇
後醍醐天皇によって「建武の新政」が行われたのは西暦何年 ?,1333年,1533年,1733年,1933年,1333年
次のうち、和面積が最も大きい島はどれ 2?,沖縄本島,奄美大島,佐渡島,択症島,択症島
映画「地獄の黙示録」の撮影途中で、ウィラード大尉の役を隆板したのは?,ハーヴェイ・カイテル,ハリソン・フォード,ロバート・デニーロロ,デニス・ホッパー,ハーヴェイ・カイテル
江戸時代に誕生したという、大相撲0初代横綱は誰 ?,震電為石衛門,綾川五郎次,小野川喜三郎,明石志賀之助,明石志賀之助
ゴルフのスコアで、実打数からハンティキャップを引いたものを何という?,ノット,ロット,ネット,ニット,ネット
スイスの4つの公用語のうち、同国内で最も話者が多いのはどれ2?,ロマンシュ語,フランス語,イタリア語,ドイツ語,ドイツ語
水素やヘリウムなどの1周期元素は、周期表ではどの位置にある ?,一番上,一番左,一番石,ちょうど真ん中,一番上
次のうち、漫画 『もやしもん』の実写ドラマ版で、美里薫を演じたのは上:壮4,怠騰の川島明,笑い飯の西田辛治,NON STYLEの井上裕介,キングコングの西野亮廣,笑い飯の西田辛治
ヤード・ポンド法の単位で、パイント、ガロン、バーレルといえば何の単位?,長さ,面積,質量,容積,長さ
テッポウ中は何の幼虫?,タマムシ,クワガタムシ,カミキリムシ,コメツキムンシン,カミキリムシ
ミズーリ州カンザスシティに本抑地を置く、メジャーリーグのチームはとどこ?,ロッキーズ,フィリーズ,ロイヤルズ,アストロズ,ロッキーズ
映画『ブリジット・ジョーンズの日記』や『シンデレラマン』でヒロインを演じた女優は誰?,ウィノナ・ライダー,レネー・ゼルウィガー,ナタリー・ポートマン,ミラ・ジョヴォヴィッチ,レネー・ゼルウィガー
青森出身、鮮烈で独特な木版画で世界的に知られる芸術家といえはば?,和田勉,山下清,岡本太郎,棟方志功,棟方志功
CASIOの商品である 「G-SHOCK」のGの意味は次のうちどれ?,需丈,重力,合体,可華,重力
バンド・四星球が拠点を置いている旧はどこ?  「,徳島県,秋田県,長野県,長崎県,徳島県
次のうち八車山諸島に属さない島はとれ2?,安室島,小浜島,由布島,新城島,安室島
次の気体のうち、常温で空気よりも重いものはどれ ?,二酸化炭素,アンモニア,水素,ヘリウム,二酸化炭素
漫画家「近藤るるる」の「るるる」は何と読む?   -,実は省略 る,ニニつのるで みつる,そのまんま るるる,愛称でもある? る一,そのまんま るるる
大相撲で、史上最年少横綱になったのは誰?      「,大勝,双葉山,貴乃花,北の湖,北の湖
次の紙のサイズのうち、一番大きいのは ?,A4,AS3,B3,B4,B3
クイズ番組などテレビにも出演する昭和女子大学の理事長は誰 ?,小島慶子,坂東県理子,村井美樹,叶崎美子,坂東県理子
東大地震研究所のルーツである「震災予防調査会」が発足するきっかけとなった1891年の大地震は何 ?,関東大震災,芸予地震,三陸沖地震,濃尾地震,濃尾地震
次のうち、テニスの全米オープン男ゴシングルスで、最多タイとなる7度の回にを人生:たち :手4,ロイ・エマーソン,アンリ・コシェ,ドン・バッジ,ビル・チルデン,ビル・チルデン
アニメ『學たま乱太郎』の主人公・可太郎の名字は何?,斑宣,黒木,箱名寺,摂津の,斑宣
松尾色薫の随筆『奥の細道』に同行した、功葉の弟子は誰2?,代々木置良,河合骨良,大塚軒良,駿台冒良,河合骨良
大相撲の興行は1度だけナイターで行われたことがありますが、そのとさは何時まで行われた ?,21時,20時,22時,19時,20時
次のうち、ベストジーニストで尻堂2りを果たしてないのは誰 ?,ローラフ,"米倉涼
涼子",条々緒,浜崎あゆみ,"米倉涼
涼子"
韓国ドラマ『冬のソナタ」』の舞台となった、並木道が有名な韓国の都市はとどこ?,春川,秋川|,邊川,冬川,春川
電子メールの機能の1つ「CC」を、略さず言うと何 ?,チョイスコピー,カーボンコピー,チェックコピー,カウントコピー,カーボンコピー
エヴァンゲリオンコミックス版6巻(のSE:っ才還っ少8アルとウツル/出三し)のことを何と思っていると言った?,仕切り屋,ブサイク,貧乳,地味,仕切り屋
鎌倉時代後期に現れた、荘園の領主や幕府に反抗した武装集団のことを何といった?,不良,外道,邪道,悪党,悪党
あるパスタとつけ麺が融合した、静岡県冨士市発のご当地グルメは次のうちとれ?,つけナポリタン,つけペペロンチーノ,つけペスカトーレ,つけカルボナーラ,つけナポリタン
次のうち、小学校時代に澤穂希と同じサッカー少年団でプレーした経歴のこうちゅ!】ち : 者4,遠藤保仁,駒野友一,中村憲剛,今野泰幸,中村憲剛
182mmx257mmの紙のサイズは2?,B4,AS,BS,A4,B4
魔法少女リリカルなのはStrikerSに登場するリインフォースIIの魔導師ウンスク 9,"ハムへ、   ーー
総合B+ランク","ハアっ  ーー
総合C+ランク",総合A+ランク,総合SG+ランク,総合A+ランク
次のうち、オリンピックのシンボルマークの輪の色に使われている色はとれ?,銀,金,紫,県,県
テュロック種、ヨークシャー種、ハンプシャー種などの品種がいる家畜は何 ?,牛,,,豚,豚
音を演奏に十分な大きさへ増幅する働きがある、バイオリンの表板と裏板の間に挟まれた棒を何という ?,愛柱,有夢柱,魂柱,紳柱,魂柱
ジタル シクニニヒレゴ 還り表5ジクンシルとはどんな意味?,絹,まゆ,帽子,膨らんだ,絹
「みそをつける」の意味はどれ?,文句をつける,右労する,力をつける,失敗する,失敗する
TBSの番組『がっちりマンデー!!』が放送されているのは毎週何曜日 2,火曜日,土曜日,日曜日,月曜日,日曜日
次のうち、国際連合の公用語ではないのはどれ?     「,央語,フランス語,ドイツ語,スペイン語,ドイツ語
大相撲で「化粧まわし」が与えられるのは、どの番付以上になってから?,十両,関脇,大関,前豆,十両
次のうち、ヨーグルトを作るときに利用される細菌はどれ ?,サルモネラ箇,イースト菌,乳酸画,ビフィズス菌,乳酸画
次のうち、特撮番組 『仮面ライダー龍騎』に登場したライダーでないのはとどれ?,仮面ライダー王蛇,仮面ライダーゾルダ,仮面ライダーシザース,仮面ライダーサソード,仮面ライダーサソード
映画『コクリコ坂から』の「コクリコ」とは何の名前?,化の名前,魚の名前,主人公の名前,町の名前,化の名前
中世のゲルマン民族でイベリア邊島に建国したのは西ゴート族ですが、アフリカ北部に建国したのは何族?,西ゴート族,ブルグント族,ヴァンダル族,ロンバルド族,ヴァンダル族
"モルディブやスリランカなどの島国が肖カ
ヽ  】
しし ?",地中海,太洋,大西洋,インド洋,インド洋
歌謡曲の「演歌」を歌っていたのは、元々はどんな人 2?2,大道芸人,漁師,政治運動家,教師,政治運動家
ヒトの染色体に振られる番号は何によって決められている ?,長い方から順番,見つかった順番,太い方から順番,重要な機能を示す順番,長い方から順番
ゲーム 『桃太郎電鉄』シリーズに登電する次のカードのうち、振れるサイコロの数が最も多いのはどれ?,のぞみカード,特急カード,新幹線カード,愛行カード,のぞみカード
ドラマ「殴る女」で、吹越満の役名に,山田亮在,谷田亮在,川田亮和,澤田亮邊,澤田亮邊
アメリカ独立宣言が出されたのは何世紀のこと ?         「,17世紀,16世紀,18世紀,19世紀,18世紀
次のうち、イルカの頭部にあり、超音波を作り出す器官はどれ?,グレープ,メロン,オレンジ,レモン,メロン
森高千里とアンジャッシュの渡部建\語]  ハ                              v ーー        ド      マテ番組は何?,水曜歌謡祭,木曜歌謡祭,月曜歌謡祭,金雌歌謡祭,水曜歌謡祭
自然現象や生物の行動の様子などから天気の変化を予測することを何という ?,展天宝気,観天望気,展望天気,観室天気,観天望気
フランスの結本作家ジャン・ド・ブリュノフが生み出したソウのキャラクターは?,グルンパ,ランディ,ババール,ダンボ,ババール
「『フィガロの結婚』『罪ある母』とともにボーマルシェ3部作をなす、ロッシーニのオペラは何 ?,マドリードの理髪師,コルドバの理髪師,セビリアの理髪師,グラナダの理髪師,セビリアの理髪師
元素の名前を日本における一般的なび名で五十音順に並べたときに最初にくる元素の元素記号は何 ?,Zn,Ac,ES,Al,ES
春の甲子園、選抜高等学校野球大会を主催する新聞往はどこ?,日本経済新聞往,毎日新聞和視,読売新聞視,朝日新聞視,毎日新聞和視
山手線の駅で、新宿駅と原宿駅の間にあるのは何駅 ?       「,池袋駅,代々木駅,秋葉原駅,東京駅,代々木駅
大星日の庶民の姿を描いた、井原西倫作の涯世草子はどれ ?,世間脚算用,世間腹算用,世間腰算用,世間胸算用,世間胸算用
忠犬ハチ公の飼い主の苗字は?,"こ上上
洲谷",恵比寿,上野,御茶ノ水,上野
1年で最後に行われる男子ゴルフの四大大会は何?,全身オープン,全米オープン,マスターズ,全米プロ,全身オープン
カリブ海の諸島で生まれた、普通に時べて飛ばないボールを使うゴルフを伯という2,ケイマンゴルフ,コーンゴルフ,アンティルゴルフ,カイコスゴルフ,ケイマンゴルフ
韓国ドラマ『冬のソナタ」』の舞台となった、並木道が有名な韓国の都市はとどこ?,冬川|,春川|,邊川,秋川,春川|
ISA・国際サーフィン連盟の本部があるアメリカの州はどこ?,ハワイ州,カリフォルニア州,フロリタダ州,ニューメキシコ州,カリフォルニア州
Sm星野4010じ反GのELS所人)《の】泊が当は?,伏見奉行所,長崎奉行所,木挽町の自身番屋,大坂奉行所,木挽町の自身番屋
筒井大志の漫画『ぼくたちは勉強がてさない』に登場する武元うるかが所届している部活は何部 ?,陸上部,剣道部,水泳部,美術部,水泳部
世界一長いゴルフホールがある都道必県はどこ?,栃木県,高知県,岐阜県,島根県,栃木県
者使いのマナー違反で、炭を爪楊枝代わりに使うことを何という3?,こじ箸,せせり箸,もぎ閉,なぶり箸,せせり箸
次のうち、『世界のアソビ大全51』[収録されていないゲームはどれ2,将棋,麻雀,化札,囲碁,囲碁
6月10日の時の記念日は、天智天皇が何を置き、時刻制度を定めたことに由来する ?,鳩時計,日時計,水時計,機械時計,鳩時計
紀元前15世紀にシリアやヌビアを算服して最大版図を現出したエジプト新王国第18王朝の王は?,ラムセス2世,クレオパトラ7世,トトメス3世,アメンホテブ4世,トトメス3世
高屋奈月の漫画『フルーツバスケット』で、ヒロインの本田透が居候しているのは何家 ?,魚谷家,卓摩家,白木家,化島家,卓摩家
次のうち、陰イオンはどれ ?,カルシウムイオン,塩化物イオン,水素イオン,アンモニウムイオン,塩化物イオン
夜空に輝く「北斗七星」を構成している7つの星のうち、一等星は全部でいくつある?,4個,2個,7個,0個,0個
のりりE間還4INICRYC1WN4当Ni     「FANTASY XV』」 で、ルナフレーナの声を演じた女優は誰 ?,武井咲,剛力彩芽,上戸彩,急那汐里,急那汐里
ボウリングのピンの材質に最も多く使われている木は何 2,マソ,ナラ,カシ,カエデ,カエデ
テレビ朝日の情報番組『モーニングバード ! 』でMCを務めていたのは、選鳥慎一と誰 ?,北乃きい,加有藤綾子,赤江珠緒,夏目三久,赤江珠緒
西日本鉄道が発行するICカードの名EE          _,ICOCA,SUGOCA,nirmoca,RapiCa,nirmoca
源義経が逆落としにより在家の陣を党襲したとされる、源邊の戦いの1つは何 ?,富士川の戦い,壇ノ浦の戦い,ーノ谷の戦い,屋島の戦い,ーノ谷の戦い
ゲーム『ピクミン』に登場するピクミンのうち、バクダン岩を扱うことがでさるのは何ピクミン?,青ビピクミン,黒ピビクミン,黄ピクミン,赤ビピクミン,黄ピクミン
世界で初めて全身訂酔による手術を行った、江戸時代の外科医は誰 ?,華岡紫洲,華岡黒洲,華岡赤洲,華岡青洲,華岡青洲
19世紀に米インディアナ州議会で提出された円周率法案では、円周率をいくつに定めようとしていた ?,3.2,3.3,3.1,3,3.2
「リポビタンD」のマレーシアでの商標は次のうちどれ2?,LIVITA,LIPOVITAN-D,LIPOVITAN,力保美達,LIVITA
