トライアスロンのオリンピックディスタンスでは、バイクの距離は何km ?,30km,40km,20km,50km,40km
GENがボーカルを務めるバンド、に人Limited Sazabys。〇〇は何 ?,01,03,04,02,04
小道迷子の漫画 『風します ? 』の題2人 具とをヨタルンたく計上,鉄道,バイク,飛行機,モーターボード,鉄道
特定のニュースネットワークに加盟せず、独自に番組を制作しているテレビ局のことを何という ?,キー局,ローカル局,独立局,ネット局,独立局
次のうち、ボクシングのオーソドックンるのにときりたコいゴ fp】和1 過見モうさの】たとれ?,右手・左足が前,左手・左足が前,左手・右足が前,石手・右足が前,左手・左足が前
「ドラえもん」で、嫌なことが起きる前兆としてのひび太の体に起こる変化は?,体がかゆくなる,鳥肌が立つ,あくびがでる,まぶたが義錦する,まぶたが義錦する
ガダルカナル島など大小100以上の島々からなる、ホニアラを首都とする南太告洋の国はどこ ?,ガラパゴス諸島,バハマ諸島,バミューダ諸島,ソロモン諸島,ソロモン諸島
サッカーく<くじ・totoの当せんは、1寺から何等まである ?,8等,6等,2等,3等,3等
住んでいる所は何の都?,ゴールド,ルビー,エメラルド,サファイヤ,エメラルド
小説家・山本招一の小説「命もいらず名もいらず」の主人公として描かれている人物は誰?,高橋泥舟,高杉晋作,山岡鉄舟,勝海舟,山岡鉄舟
上」 「下」 !一」のように、絵で表しにくいことを、点や線の組合せで表した文字を何という ?,指事文字,家形文字,形声文字,"のへ、=テ マナービー
会意文字",指事文字
往年の青春スターで「タフガイ」のニックネームで呼ばれた俳優といえば?,石原裕次郎,高橋英樹,小林旭,二宮英明,石原裕次郎
ゲーム 『逆転哉唱』のスピンオフ作品で、御剣愉待を主人公とするのは「逆転何』 ?,弁護士,裁剤官,州決,検事,検事
液体の温度を下げて固体にすると、体積はどうなる ?,変わらない,大きくなる,小さくなる,液体によって異なる,液体によって異なる
次のうち、アルカリ性の物質はどれ 2?,食酢,レモン汁,炭酸水,せっけん水,せっけん水
かつての福名を東京通信工業株式会吐といった、テレビの「BRAVIA」などで知られる企業は何 ?,NEC,シャープ,パナソニック,ソゾソニー,ソゾソニー
「*C」という記号で表わされる温度の単位・セルシウス度の「セルシウス」の由来は何 ?,北欧紳話の旨,考案した科学者,南極にある地名,身語で「温度」,考案した科学者
将棋の永世名人を保持するためには名人位を通算何期以上獲得する必要がある?,12,5,8,4,5
次のうち、7月の誕生石はどれ ?,エメラルド,サファイア,ルビー,アメシスト,ルビー
テニスの4大大会の全てを初めて制難した戦前の英国の名テニス選手といえば誰?,ルネ・ラコステ,ヒュー・ドハティ,ロッド・レーバー,フレッド・ペリー,フレッド・ペリー
上方落語協会が毎年開催する「彦八まつり」が行われる大阪市の紳計は回多2,大阪天満宮,生國魂紳視,今宮騙紳守,住吉大視,大阪天満宮
元素の日本名をひらがなで表した時、最後の文字で最も多いのは何 ?,う,む,そ,ん,む
映画「ドラえもん のび太と竜の騎士」で、ドラえもんたちが買い物したスーパーの名前はどれ?,スーパー サシアタリ,スーパー トリアエズ,スーパー カイタイナ,スーパー オカイモノ,スーパー トリアエズ
渋谷から横浜を走るのは東横線。では横浜から元町中華街までは何線?,東横線,元町・中華街線,,みなとみらい線,みなとみらい線
小説 「オペラ座の怪人」で、怪人がオペラ座館主に常時確保させている席は何番ボックス席?,9,],3,S,S
フェンシングで、試合開始の合図のことを何という?,コレ,アレ,ソレ,ドレ,コレ
断層の中でも、上の地盤がずり落ちることによってできた断層を特に何という2,反断居,逆断層,順断居,正断層,正断層
映画 !2001年王宙の旅』の監督は誰?,キューブリック,トリュフォー,ヒッチコック,タランティーノ,キューブリック
「ポロ」の起源、と言われるアフガニスタンの伝統競技は?,クロカシ,ブズカシ,ハズカシ,ムズカシ,ブズカシ
住宅建築の基礎の2種類といえばは、「ベタ基礎」と「何基礎」 ?,足基礎,石基礎,布基礎,波基礎,布基礎
特撮番組『ウルトラマン』で、にせりルトラマンに化けた宇宙人は何星人 ?,ザラブ星人,メフィラス星人,ゼットン星人,バルタン星人,ザラブ星人
マンボミュージシャンのパラダイス山元が持つ選書きは、日本初の公認〇つ〇〇。〇〇〇は ?,サンタクロース,ドラキュラ,魔法使い,スバパイ,サンタクロース
掃除用品「クイックルワイパー」を発売しているメーカーは2?,P&G,花王,ライオン,旭化成,花王
_ 吉住渉の漫画『O〇〇な彼女』。〇1あた円7        -,ワンパク,ブサイク,ハンサム,イケメン,ハンサム
FMラジオ局・a-STATIONがあるのはこの都道府県 ?,広島,愛知,京都,高知,広島
NBAのチーム名で、「ワシントン」といえはば、後に続く愛称は何 ?,スパーズ,キングス,ウィザーズ,ペリカンズ,ウィザーズ
小学生の女の子・桂木千代子を主人公とするいずみの漫画 『〇〇〇パノブエ』 。  〇〇〇は何 ?,いちご,ちょこ,ばにら,めろん,ちょこ
"久保ミツロウの温
4mLPんたJE唐人あ41で、主人公の今村金一郎に起きた出来事は次のうちどれ ?",宇宙人に誘拐された,一度死んで生き返った,ロボットに改造された,タイムスリップ,タイムスリップ
咽頭炎などの際にのどに塗布する、ヨウ素とヨウ化カリウムを水に溶か7たる円有4,ルゴール液,リンガー液,マーキュロクロム液,グリニャール液,ルゴール液
次の世界遺産のうち、ギリシャにあるのはどれ2,アブシンベル純殿,"ヨセミテ国立
テ国立公園",プラハ,ミケーネ,アブシンベル純殿
1333年に「建武の新政」を行った、第96代天皇は誰2?,天智天皇,後醍醐天皇,推古天皇,相武天旦,後醍醐天皇
酸性・中性のときは無色だが、アルカリ性に反応して赤くなる指示薬はとれ?,メナルレッド,リトマス試験紙,フェノールフタレイン,BTB溶液,フェノールフタレイン
恋川春町の『金々先生栄花夢』が代表的な、江戸時代中期に流行した大人向けの読み物を何という ?,黄表紙,,青表紙,,黄表紙
BS日テレで放送されている、女子ボウリングトーナメントは何?,G支Leaque,E護Leadue,P支Leaque,B支Leaque,P支Leaque
アンテルセン曹話が初めて世に出たのはいつ?,1845年,1820年,1850年,1835年,1835年
Jリーグの初代得点王は誰?,ラモン・ディアス,ウーゴ・マラドーナ,アルシンド,三浦知良,ラモン・ディアス
劇団・ヨーロッパ企画が拠点を置いている都市はどこ 2,京都市,仙台市,名古屋市,編岡市,京都市
元々は「樽」という意味の、石油などの体積を表す単位はどれ?,ブッシェル,バレル,クオート,ガロン,バレル
ドラマ『ひとつづ屋根の下』や『高校教師』などの脚本を手がけた脚本家は誰 ?,北川悦史子,内館牧子,三谷幸喜,野島伸司,野島伸司
1よりも大きい自然数で、1とその数以外にも約数があるものを何という?,,合成数,倍数,素数,合成数
木村伊兵衛やロバート・キャパといえば、次のうちどんな職業で有名な人物?,陶芸家,写真家,彫刻家,画家,写真家
「横浜スタジアム」があるのは、生奈川県横浜市の何区?,宋区,西区,中区,南区,中区
漫画 !桜蘭高校ホスト部』で、和花瓶を割ってしまったことからホスト部に入部させられる主人公は誰 ?,碧坂ハルヒ,涼宮ハルヒ,寺田ハルヒ,藤岡ハルヒ,藤岡ハルヒ
サマセット・モームの小説「月と六ペンス」の主人公のモデルである画舟は?,ビピカソ,ゴッホ,ゴーギャン,ダリ,ゴーギャン
ウイグル語で「一度入ったら出られない」という意味がある、中国の砂音は何 ?,タクラマカン砂漢,ゴビ砂漠,ナミブ砂漢,サハラ砂洪,タクラマカン砂漢
サーフィンの用語で、波の崩れ方を方右させる、海底にできる砂の堆積を人という2,サンドバー,サンドポンド,サンドデッキ,サンドアップ,サンドバー
次のコンピュータボードゲームのうち、堀井雄二がゲームデザインを担時避り】たすず2ル62,いたださきストリート,カルドセプト,マリオパーティ,桃太郎電鉄,いたださきストリート
高橋よしひろの漫画『銀牙 -流れ星銀-』に登場する主人公のイヌ・銀は犬種でいうと何 ?,秋田犬,甲斐犬,紀州犬,土佐犬,秋田犬
ボードゲーム「カタンの開拓者たち」に登場する資源の種類は、木材、レンガ、小麦、鉱石と何?,石油,手毛,水,金塊,手毛
空気中に放置された結晶が空気中の水分を吸収して溶けてしまう現象を何という3?,風化,測解,風解,潮化,測解
前生にアニメパート、後生に実写パートという構成がとられたアニメは次のうちどれ?,ロミオxジュリエット,もえたん,ドージンワーク,ひとひら,ドージンワーク
北京五輪の観客の声援で話題となった、 「頑張れ」を意味する中国語は回角,加火,加熱,加水,加油,加油
男子マラソンで、初めて2時間10分を切った選手は誰 ?     「,クレイトン,ライアン,ウォルデ,ショーター,クレイトン
肺に入る血液が流れている血管を何という?            「,肺動有販,肺毛管,肺リンパ管,肺静須,肺動有販
NHKラジオ第1で深夜に放送されている、中高年向けのラジオ番組は何 ?,オールナイトニッポン,文化系トークラジオLife,ラジオ深夜便,JET STREAM,ラジオ深夜便
タイヤの表面に刻まれる、排水やスリップの防止のための溝を何という?,ロードキャッチャー,スウィングカム,トレッドパターン,グリップエッジ,トレッドパターン
東京五輪では馬術、長野五輪ではカーリングと、世界初の夏冬五輪会場となった街は?,越後湯沢,野沢温泉,軽井沢,日 馬,軽井沢
イクラやキャビアなどが使われる、回クのみあお5EKのjIじとる円有?,アンティパスト,メゼ,タパス,ザクースカ,ザクースカ
格闘ゲームンシリーズ『デッド オアアライブ』を発売している会填はどこ2?,セガ,コーエーテクモゲームス,カプコン,任天室,コーエーテクモゲームス
ある事柄を述べた文章や式で、それが正しいか正しくないかが明確に決まるものを何という?,命題,真偽,反例,正論,命題
次のうち、かつてNHKに勤めていたアナウンサーは誰 ?,松邊定知,"ンム、
小倉智昭",徳光和夫,露木成,松邊定知
次の中でフジテレビ系列で放送されていた番組「すけスケシルバ」のレギュラーではなかったのは誰?,SILVA,島田紳助,内村光良,ユースケ・サンタマリア,内村光良
自機が進化と退化をくりかえすデーダイーストのシューティングゲームといえば?,「ダーウィン4018」,「ダーウィン4078」,「ダーウィン4087」,「ダーウィン4081」,「ダーウィン4078」
ガリレオが自作の望遠鏡で発見したオ星の衛星は全部でいくつ?,3つ,Sつ,4つ,2Zつ,4つ
吉高由里子主涯ドラマ「美丘」の原作者は誰?                            」,大崎善生,よしもとばなな,石田衣良,江國香織,石田衣良
次のうち、元々は「鍋の底に焦げついた食べ物」を意味した料理はどれ?,ドリア,グラタン,キッシュ,ラザニア,グラタン
弓道の称号である錬士の受験資格は原則的に何段以上?,五段,導段,七段,四段,五段
「クイント」とは、サーフボードの介側についているフィンがいくつつ付いているもの ?,4つ,Sつ,6つ,3つ,Sつ
著作に『紳の国」』や『告白録』」などヵある、初期キリスト教における最大の教父とされるのは誰 ?,アウグスティヌス,ヒエロニムス,アンブロシウス,ベネディクティヌス,アウグスティヌス
ナポレオン戦争の戦後処理を目的として、1814年に開催された国際会議は何 ?,ベルリン会議,ローマ会議,ワルシャワ会議,ウィーン会議,ウィーン会議
シュメール時代を起源とする、メソポタミア諸都市で建設された聖塔は次のうちどれ?,ジッグラト,ピラミッド,ミナレット,オベリスク,ジッグラト
「東京ラブストーリー」の主役は、「リカ」こと「赤名リカ」と、「かんち」こと誰?,"王ミム
永尾 完治",太田 貫知,中村 勘知,酒井 幹時,"王ミム
永尾 完治"
スイスの4つの公用語のうち、同国内で最も話者が多いのはどれ2?,ドイツ語,イタリア語,フランス語,ロマンシュ語,ドイツ語
正式な和名を「ウデフリツノザヤウミウシン」というウミウシの、黄色い外見にちなんだ通称は何 ?,エモンガウミウン,デデテンネウミウシ,プラスルウミウシ,ビピカチュウウミウシ,ビピカチュウウミウシ
バラエティ番組『いろはに千鳥」 を振作・放和送しているテレビ局はどこ ?,テレビ交奈川,千葉テレビ放送,テレビ埼玉,とちぎテレビ,テレビ埼玉
四次方程式の解の公式を示した、16世紀イタリアの数学者は誰 ?,マセラティ,フェフラーリ,ランボルギーニ,フィアット,フェフラーリ
T減数分裂」とよばれる形式の細胞分裂を行なっているのは、どんな組繊にある細胞 ?,生殖器,筋肉,感覚器,斬経,生殖器
「あつた各葉軒」というお店が登録商標を持っている、名古屋名物といえば何 ?,ひつまぶし,ういろう,大むす,さしめん,ひつまぶし
アメリカの眼科用医療機器メーカーで、有名サングラスブランド「レイ0 /ずルーゴン rl sk(c-ヨた,ボシュロム,カールツァイス,ワック,ニテデック,ボシュロム
次のうち、宮城県石巻市にあるのはどれ?,水木しげる記念館,手塚治虫記念館,やなせたかし記念館,石ノ森画館,石ノ森画館
4ヶ国語を操るマルチリンガルである、韓国出身のガールズグループ「2NE1」のリーダーは誰 ?,EL,CL,TL,AL,CL
代表作に、第1回レコード大賞受賞曲『黒い花びら』や『こんにちは赤ちゃん』がある作曲家は誰 ?,古賀政男,服部良一,中村八大,小至哲哉,中村八大
メジャーリーグで、ボルチモアに本拠了他を置くチームは何 ?,"ジャイア>
ンツ",オリオールズ,ナショナルズ,メッツ,オリオールズ
縄跳びで、「はやぶさ」といえば、どんな技 ?     -,あや二重跳び,あや三重跳び,交差三重跳び,交差二重跳び,あや二重跳び
方言は一点から波紋状に広がるという柳田国男の方言周圏諭は、どんな動物の呼び方から考えられた ?,カタツムリ,クモ,ヘビ,カエル,カタツムリ
登山に使う道具のカラビナ、ザイルなどは元々は何語 ?,フランス語,マレー語,アラビア語,ドイツ語,ドイツ語
河川の流路の両側には運搬物を堆積した自然の堤ができるが、この堤のことを何という?,堆積堤防,自然堤防,,河川堤防,堆積堤防
ゴルフ用語で「オネストジョン」としいえば、次のうち何に関するもの ?,服装の規定,コースの形状,プレーの方式,クラブのメーカー,プレーの方式
ゲーム「カルドセプト」シリーズを制作した「埼玉県さいたま市」にあるゲーム会往は次のうちどれ?,大宮ソフト,浦和ソフト,岩槻ソフト,与野ソフト,大宮ソフト
救急車の官轄は何省?,総務省,法務省,国土交通省,,総務省
前生にアニメパート、後生に実写パートという構成がとられたアニメは次のうちどれ?,もえたん,ドージンワーク,口ミオxジュリエット,ひとひら,ドージンワーク
国土地理院が発行する5万分の1の地形図の等高線で、100mごとに引かれる太い実線を何という 3?,子午線,計曲線,走査線,回帰線,計曲線
「相好を月す」といえば、次のうちどんな表情になること ?,驚いた表情,イライラした表情,にこやかな表情,砺しい表情,驚いた表情
音楽ユニッ ト・KANA-BOONのボーカルの名前は谷口〇。〇は何 ?,鮮 (ひらめ),錠 (まぐろ),勉 (いわし),鯉 (かつお),錠 (まぐろ)
『人間の証明』 『青春の証明』 『野性の証明』の「証明三部作」で知られる推理作家は誰 ?,森村誠一,森村誠二,木村誠二,木村誠一,森村誠一
次のうち、y5 (ルート5) の近似値の覚え方はどれ ?  「,人並みにおごれや,富士山科オウム鳴く,二夜しくしく,ー人夜一夜に人見頃,富士山科オウム鳴く
映画『ALWAYS 三丁目の夕日』や『永遠の0』などの作品で知られる映画監督は誰?,山崎まさよし,山崎貴,山崎弘也,山崎武司,山崎貴
宮城県のゆるキャラは2?,ずんだ姫,タンベー,むすび丸,松島っ子,むすび丸
ボウリングで、ボールがポケットに入りながら1ビピン残ることを何という?,クリック,スワイプ,ビピンチ,タップ,タップ
ナトリウムの炎色反応は何色 ?,赤色,緑色,黄色,青色,黄色
百年戦争、三十年戦争いずれにも関わっていない国は次のうちどこ?,デンマーク,フフンス,スウェーデン,ロンシア,ロンシア
ゲーム雑誌、『週刊ファミ通』が発売されるのは毎週何曜日?,木曜日,水曜日,火曜日,月曜日,木曜日
リヒテンシュタインなどのように、周りを内陸国に囲まれた国のことを特に何という ?,絶対内陸国,二重内陸国,内陸内陸国,極限内陸国,二重内陸国
+あンた、背中が燥けてるぜ」の台詞で有名な、能條純一の誠雀漫画は何 ?,アカギ,,むこうぶち,商きの竜,商きの竜
明治44年、新潟県高田歩兵58連際の訓練に、日本で最初にスキーを紹介した人物といえば誰?,フォン・レルヒ,ジャック・マイヨール,エンゾ・モリナリ,ウンベルト・ペリザリ,フォン・レルヒ
ベネジクト液を使って検出できるの生和回記2,精,水,タンパク質,デンプン,精
次のうち、カミーユ・サンニサーンスの有名な楽曲のタイトルは何 ?,動物の復活祭,動物の生誕祭,動物の洗礼祭,動物の謝内祭,動物の謝内祭
人気のブランド !フォリフォリ」が誕生した国はどこ?,ギリシャ,イタリア,フラフランス,スペイン,ギリシャ
ロシア革命期、バイカル湖から日本海につらなる一帯に建国された国家の名前は?,シベリア共和国,満州国,バイカル共和国,極東共和国,極東共和国
次の紙のサイズのうち、一番大きいのは ?,B4,AS3,A4,B3,B4
一定の条件下で、発行会吐の新株を購入できる権利がついた「新株予約権付往債」を何という ?,カウント債,タレント債,ワラント債,ポイント債,ワラント債
アニメ『はなまる幼稚園」に登場する花丸先生の職業は何?,国会議員,医者,幼稚園教議,漫画家,漫画家
顕微鏡を使ってコルクを観察し、植物の細胞を初めて発見した博物学者は誰 ?,ドップラー,ニュートン,ホイヘンス,フック,フック
「eneloop」 「EVOLTA」といえば、どんな製品の名前2,電球,乾電池,電気目動車,充電池,充電池
女優「広未涼子」の3枚目のシングル曲「風のプリズム」を作詞作曲し本の】た生れ,広瀬香美,竹内まりや,岡本真夜,原由子,原由子
漫画「ワンピース」 で金獅子のシキとゴールド・ロジャーが浪突した海戦は何と呼ばれた!?,エッド・ウォーの海戦,サッド・ウォーの海戦,バッド・ウォーの海戦,デッド・ウォーの海戦,エッド・ウォーの海戦
メジャーリーグのレンジャーズのアルファベット3文字の略称は何 ?,TEX,TOR,ATL,LAD,TEX
タレントとして活躍する篠原信一がかつて秒道代表として出場したのは何オリンピック ?,バルセロナ,ロサンゼルス,北京,シドニー,シドニー
紙のサイズ。A3はA5の何倍の大きご2?,1.5倍,4倍,2倍,5倍,4倍
次のうち、一等星を二つ持たない星座はどれ2    「,みなみじめゅうじ座,オリオン座,ケンタウルス座,で た ご座,で た ご座
映画「天城越え」で主演したのは?,田中裕子,田中美佐子,浅野ゆう子,名取裕子,田中裕子
「ドラえもん」で、嫌なことが起きる前兆としてのひび太の体に起こる変化は?,鳥肌が立つ,あくびがでる,体がかゆくなる,まぶたが義錦する,まぶたが義錦する
サッカー・イングランド代表の愛称「スリー・〇のO〇OO〇」。 〇O〇O〇は何 ?,ドラゴンズ,タイガース,ジャイアンツ,ライオンズ,ライオンズ
映画 『ライオン・キング』で、主人公・シンバの父親の名前は何 ?,プンバア,ムファサ,ラフィキ,ティモン,ムファサ
物理学者ファラデーにちなもむす単位「ファラド」は、何の単位 ?,,磁束密度,"静電容
容量",,"静電容
容量"
三浦建太郎の漫画『ベルセルク』の主人公・ガッツが通常使用する武器は、巨大サイズの何 ?,謀,鐘,梶棒,呈,呈
連弾を行うときに、使用するピアノは何台 ?      「,4台,3台,1台,2台,1台
次のうち、沖縄で伝統的に生産されとでEEIKMどゴウル|ちず 果,びんがた,わんがた,つつがた,かんがた,びんがた
普段口にしているジャガイモやサトイモは植物のどの部分を食べている ?,根,化,葉,茎,茎
1927年に日本で初めて「文庫本」を出版した、『種をまく人』のマークで知られる出版計はどこ?,岩波書店,幻冬舎,宝島往,主婦の友填,岩波書店
次のうち、「一層残し」ともいわれるジェルネイルのケア方法はどれ ?,リペア,カバーリング,フィルイン,メンディング,フィルイン
ソウル五輪陸上女子走り高跳びの優勝者は誰?,リッター,バレル,リットル,ガロン,リッター
タレントの「ひろ」、モデル・歌手の「まりや」。この姉妹の名字は何 ?,数内,大内,西内,竹内,西内
タレント「YOU」がかつて所属していた「探してるのにい」などのヒットでも知られるバンドは5!,SHOW-YA,PRINCESS PRINCESS,LINDBERG,FAIRCHILD,FAIRCHILD
テニスの全仏オープンで、   「デュース」を意味するときに使われる言葉に回角,マンシュ,キャトル,エガリテ,サンジュー,エガリテ
ゆき林槍の漫画 『西荻窪ランスルー」』で、主人公の江田島咲が入った業界は何業界 ?,飲食業界,出版業界,アニメ業界,スポーツ業界,アニメ業界
日本のパスポートのうち、国会議員などが使う公用旅券の表紙の色は何色?,緑,欄,紫,祭,緑
"ダックスフンドとはドイツ語だが、日本語に
に訳すと何の意味?",アナグマ犬,ウシオイ犬,アナホリ大,タンソク犬,アナグマ犬
「斬喪」という意味がある、ダブルの打ち合わせと情章が特徴のコートは何 ?,イブニングコート,トレンチコート,ダッフルコート,サックコート,トレンチコート
アニメ「サムライチャンプルー」でムゲンの声優は誰?,佐藤銀下,矢部雅史,中井和哉,郷里大輔,中井和哉
雑誌 『マーガレット』に連載された、やまもり三香の漫画『〇〇ロンリーフウンる ト』 o たく口包,桃町,桜町,椿町,梓町,椿町
人気のB級グルメである横手やきそばは、紅ショウガの代わりに何を添えるのが特徴 ?,たくあん,ぬか漬け,編利漬け,いぶりがっこ,編利漬け
『悲しい気持ち』や『真夜中のダンディー』などのヒット曲があるミュージシャンは誰 ?,玉置浩二,つんく〆,奥田民生,桑田佳病,桑田佳病
ある日突然王女になってしまった主人公・ミアをアン・ハサウェイが演じたラブストーリー映画は何 ?,プリティ・ウーマン,プリティ・プリンセス,プリティ・ブライド,プリティ・ロマンス,プリティ・プリンセス
酸化銀を加熱すると発生する物質は次のうちどれ?  「,銀と酸素,銀と水素,金と二酸化炭素,金と酸素,銀と酸素
日高山眠はどの都道府県にある?,,山形県,北海道,秋田県,北海道
マヨネーズやフレンチドレッシングのように、油が水中で混じり合わずに分散している状態を何と呼ぶ?,バージョン,フュージョン,エマルジョン,ビッグジョン,エマルジョン
テレビ朝日の討論番組『朝まで生テレビ』。朝になったら何曜日 ?2,日曜日,金曜日,土曜日,月曜日,土曜日
用田空港の正式名称は?,東京国際空港,新物田国際空港,有牧田国際空港,新東京国際空港,東京国際空港
氷で覆われているのがガが特徴の、かつて「木星型惑星」とよばれた惑星の一部が分類される区分は何 ?,海王星型惑星,天王星型惑星,祥王星型惑星,ケレス型惑星,天王星型惑星
鳩山由紀夫・元内閣総理大臣は、何代目の総理? 。           「,94,91,93,92,93
スキューバダイビングで使われる足ヒレのフィンを大きく2つに分けると、フルフットタイプと何タイプ?,ダブル,ビッグフット,ストラップ,セパレート,ストラップ
渋谷といえばハチ公ですが、ハチ公は何犬?,土佐犬,雑種,秋田犬,打犬,秋田犬
第一次石油危機の原因となった出来事は何 ?,キューバ危機,第四次中東戦争,アフガニスタン侵攻,朝鮮戦争,第四次中東戦争
スポーツリーグで、チームが選手に払う年俸総額に上限を設ける制度を何という3?,ペイキャップ制度,サラリーリミット制度,サラリーキャップ制度,ペイリミット制度,サラリーキャップ制度
アニメ化もされた漫画『ご注文はうこきですか?』の作者は誰 ?,石見翔子,原悠衣,くろば・U,KOI,KOI
アリゾナ州でトレーニングを行うMLIチームを総称して何リーグと呼ぶ ?,カクタス,アリゲーター,グレープフルーツ,カウボーイ,カクタス
TVドラマ「白の条件」 で主演を演じたのは?                -,宝生舞,寺島しのぶ,中江有里,奥山佳恵,中江有里
次のうち、地方自治体として同名の上も存在するものはどれ?  「,四万十市,吉野川市,糸魚川市,寝屋川市,四万十市
次の元素のうち、国名にちなんで命名されていないものはどれ 2?,アメリシウム,ポロニウム,フランシウム,ロジワウワム,ロジワウワム
陸上競技の用語で「サブフォー」としいえば、フルマラソンを何分以内に完すること?,4時間,3時間40分,2時間40分,5時間,4時間
ラグビーで、スクラムの時に、中にボールを入れる役目は誰 ?,観客,フルバック,スクラムハーフ,主番,スクラムハーフ
バレーボールを考案したのはどこの国の人物?,ドイツ人,イギリス人,アメリカ人,日本人,アメリカ人
次のうち、酸性では無色、アルカリ性ではピンク色を示す指示楽はどれ?,塩化コバルト紙,BTB溶液,フェノールフタレイン,リトマス紙,フェノールフタレイン
二酸化炭素を発見したスコットラントの化学者は誰 ?,グレー,ブラウン,ブラック,ホワイト,ブラック
焼き島などで使われる「砂肝」とはニワトリのどの部分?   -,"==|
月",肝臓,背騰,心臓,"==|
月"
箱根駅伝の往路第4区のコースは、復路では第何区に相当する ?,5区,9区,10区,7区,7区
ディズニーランドの従業員のうち清掃を行うキャストを特に何という?,キャストデアル,カストルノデアル,カストーディアル,オストアンデテル,キャストデアル
ドッグフードをネコに与え続けたら何不足になる?   「,カロリー人不足,鉄分不足,カルシウム不足,タウリン不足,タウリン不足
代表作に『舞踏への勧誘』 や『魔弾の射手』がある、ドイツの作曲家は上:壮4,ハイドン,ベートーベン,ブラームス,ウェーバー,ハイドン
次のアニメのうち全3話しか放送されていないのは2?,美肌一族,宙者玉丸,天体戦士サンレッド,BUS GAMER,BUS GAMER
宝塚歌劇団で、女性の役を演じる人のことを何という ?,姫役,女役,嬢役,娘役,娘役
飛永翼と大水洋介からなる、プロダクション人力舎に所属するお笑いコンビは何 ?,ラバパーチャイルド,ラバーガール,ラバーボーイ,ラバーペアレント,ラバーガール
大相撲の会場で「正面」といえばどの方角のこと?   -,西,南,北,東,北
小説 『砂の器』を書いたのは松本清張ですが、『砂の女』を書いたのは上:壮4,安部公房,安部能太郎,安部譲二,阿部和車,安部公房
永井ゆうじの漫画『ペンギンの間題』に登場する井上マイケルはどんな動物 ?,トド,カメ,リス,ゾウ,リス
日本のAMラジオの周波数は何kHzごとに与えられている ?2  ー,9kHz,25kHz,16kHz,36kHz,9kHz
草衣「あめふり」の作詞者は誰?,吉岡治作,本條八十,三木露風,北原白秋,北原白秋
夏季オリンピックで、日本人が初めてメダルを獲得した競技は何 ?,テニス,陸上,体操,,テニス
次のうち、冬の夜空に見られる星座はどれ2?,こと座,わし座,はくちょう座,おおいぬ座,おおいぬ座
家庭用ゲーム機「メガドライブ」のCPUは何ビットだった2?,8ビット,32ビット,64ビット,16ビット,16ビット
次のうち、小笠原諸島の「父島列島」にあって、「母島列島」にない島はどれ?,母島,妹島,父島,姉島,父島
物理学の「ボルツマン定数」を表すアルファベット]文字は何 ?,k,J,N,h,k
男子テニスの国別対抗戦、「デビスカップ」の創始者はどこの国の人?,ドイツ,アメリカ,イギリス,スエェエーデン,アメリカ
「エア・フレーム」などの「機能性アイウエア」シリーズで人気のメガネメーカーはとこ?,JINS,眼鏡市場,Zoff,999.9,JINS
ニニ【クた 三呈鞭4の】sミ【かりほの庵の告をあらみわが衣手は露にぬれつつ」の詠み人は誰 ?,持統天旦,天智天星,聖武天皇,推古天旦,天智天星
『ふり向くな君は美しい』 が大会歌として用いられているのは、何の高校選手権 ?,剣道,サッカー,テニス,ラグビー,サッカー
完全変態する昆虫が、幼虫からさなきになることを何という ?,進化,肌化,化,多化,化
音楽用語の「フォルテ」「アレグ口」「カンタービレ」などはもとも3の用::考。,ドイツ語,スペイン語,フランス語,イタリア語,イタリア語
別名を「鎌倉右大臣歌集」という鎌倉幕府第三代将軍・源実朝が作者である歌集は?,「古今和歌集」,「金枕和歌集」,「和漢朗詠集」,「千載和歌集」,「金枕和歌集」
次のうち、セガが発売したゲームではないものはどれ2?,甲虫王者ムシキング,太鼓の達人,バーチャファイター,maimal,太鼓の達人
鉄に亜鉛をめっきしたトタン、表面に傷がつくとどうなる ?,亜鉛が膨らみ元に戻る,内部から腐食してしまう,表面が溶け内部を守る,亜鉛がひび割れて砕ける,表面が溶け内部を守る
「荒海や 佐渡によこたふ 天の河」という俳句を詠んだ、江戸時代の俳人は誰 ?,正岡子規,与謝野唱子,松尾怠焦,石川上木,松尾怠焦
特撮ドラマ「『仮面ライダードライブ」で、ベルトさんの声を演じたのは誰 ?,クリス・ペプラー,ピーター・バラカン,ケイ・グラント,ジョン・カビラ,クリス・ペプラー
次のうち、中央競馬の「三冠」レースに含まれないのはどれ2,日本ダービー,有馬記念,持月賞,多化綱,有馬記念
ドラマ化もされた漫画『メイちゃんの執事』の作者は誰 2,碧尾葉子,宮城理子,水城せとな,中条比紗也,宮城理子
細環学者の野口英世が滞在した都市たうミレル00y/ pey違め】三E: とす2こ?,ポルトノボ,アクラ,ヤムスクロ,ロメ,アクラ
「野性的」という意味がある、毛先に細かいパーマをかけてウェーブをつけた背型は何 ?,ワンレン,モヒカン,"ジュ
バー
ゾ/",アフロ,"ジュ
バー
ゾ/"
ドイツ語やオランタ語で「スカート」を指す言葉はどれでしょう 2?,ロック,メタル,ジャズ,アニソン,ロック
