Q,Category,K1,K2,K3,K4,A
ID2ss【のとHIIESYのEッ9472 ryあっらみや頭痛などが起こる症状を何という ?,理系,貧血,寺帳,只血,止血,貧血
次の元素のうち、頭に「パ」をつけると、別の元素の名前になるものはとれ?,理系,リチウム,カリウム,ラジウム,バリウム,ラジウム
次のうち、実際に存在するトンボの種類は何 ?,理系,ウマカラトンボ,ゲキカラトンボ,アマカラトンボ,シオカラトンボ,シオカラトンボ
CGや音響技術を駆使して作られる「仮想現実」のことを、〇〇〇リアリティという。〇〇〇は ?,理系,バースデイ,バーニング,バーコード,バーチャル,バーチャル
防腐剤として使われる「ホルマリン」は、何という有機化合物の水溶液 ?,理系,シンナムアルデヒド,ベンズアルデヒド,アセトアルデヒド,ホルムアルデヒド,シンナムアルデヒド
次のうち、液体蜜素の特徴として正しいことはどれ2?  ー,理系,とても固い,とても熱い,水の中で保存する,"と      ヽ
ても冷たい","と      ヽ
ても冷たい"
クルクミンという含有成分が二日酔いに良いとされる、ショウガ科の植物は何 ?,理系,サコン,ロコン,ウコン,ニコゴン,ウコン
塞さのために手が赤くはれてかゆくなる現象を何という 2?2,理系,しもあれ,しもゆで,しもやけ,しもあげ,しもやけ
次のうち、植物はどれ ?,理系,ウドン,ラーメン,ソバ,スパゲッティ,ソバ
AME:Plプんありルルコにゴミを:ま<肖肛門から臭い分泌液を噴出することで知られる動物は何 ?,理系,スカンク,アライグマ,ハイエナ,マングース,スカンク
「ホール」や「駒込」などの種類がある、液体を吸い取るために使う道具は何 ?,理系,ビーカー,シリンダー,フラフラスコ,ピペット,ピペット
ティズニー映画でもおなじみの犬・ダルメシアンの体の模様の色は次のうちとれ?,理系,黒と白,赤と星,赤と青,黄色と黒,黒と白
次のうち、申歯を治したいときに行く科はどれ?,理系,眼科,内科,歯科,耳鼻科,歯科
ペットとして飼育されることもある「タランチュラ」といえば、大型のどんな生き物?,理系,サソリ,ゴキブリ,ムカデ,クモ,クモ
「助衣」は人間の体のどの部分にある骨 ?,理系,胸,征,腕,頭,胸
ばねにかかる力の大きさとばねの伸ひとの関係を示した法則に名前を残すイギリスの物理学者は誰 ?,理系,ヒック,ハック,ヘック,フック,フック
よく小学校で検査が行われる、ヒトの盲腸などに寄生する寄生虫は何 ?,理系,ぢょう中,びょう中,じょう虫,ぎょう中,ぎょう中
原子番号1の元素は水素ですが、原子番号2の元素は何 ?,理系,ベリリウム,,リチウム,ヘリウム,ヘリウム
タミフル、リレンザ、ラピアクタといえば、どんな病気の特効薬 ?,理系,ペスト,マラリア,インフルエンザ,エイズ,インフルエンザ
植物の細胞の中にある、光合成を行う器官を何という ?,理系,葉緑体,ゴルジ体,ミトコンドリア,細胞核,葉緑体
潮岬の海岸のように、海水の影響で複雑な形となった海岸のことを何という2,理系,アプト式海岸,,リアス式海岸,ユコ式海岸,リアス式海岸
塩化ナトリウムを主成分とする鉱物で、食塩の原料として用いられることもあるのは何 ?,理系,岩塩,岩男,岩瀬,岩鬼,岩塩
「親知らず」といえば、人間のどんな器官の一種 ?     「,理系,"+ょに
普",目,毛,斬経,"+ょに
普"
睡眠を大きく2つに分けるとノンレム睡眠と何 ?,理系,ラム上膝虐,ルム有睦眠,リム睡眠,レム睡眠,レム睡眠
主に歯やその周辺組織の病気や治療を扱う医学の分野を何という ?2,理系,歯科,且鼻科,眼科,泌尿器料,歯科
日本全域に広く分布する、英緑色の体が特徴的なカエルの仲間はどれ ?,理系,ニホンアメガエル,ニホンアマガエル,ニホンハレガエル,ニホンクモガエル,ニホンアマガエル
著書『種の起源』で進化論を唱えた、イギリスの自然科学者は誰 ?,理系,ダーウィン,ニュートン,リンネ,シーボルト,ダーウィン
次のうち、足の本数が最も多い生き物はどれ?2,理系,あめんぼ,みみず,ダンゴムシ,おけら,ダンゴムシ
流紋岩、安山岩、玄武震といえば、何という岩石の一種 ?,理系,剣山岩,火山岩,氷山岩,雲山岩,火山岩
「メエメエ」といえば、普通、次のうちどんな動物の鳴き声 ?,理系,うし,ねこ,いぬ,やぎ,やぎ
ツツジ科の沙葉低木で、藍色の実がジャムやジュースに加工されるのは回角,理系,ブルーベリー,グリーンベリー,レッドベリー,イエローベリー,ブルーベリー
ヒトには、普通、上下で合わせて32本ある、胞歯がぬけた後に生えてくとElたき4,理系,交代歯,予備歯,氷久歯,時歯,氷久歯
"ヽ  にっ  \ら
「100」「クーロン」「炭素」カ連想さ       4
されるアルファベット1文字は回角",理系,D,C,A,B,C
ホウ素、バリウム、ベリリウムの元素記号に共通して使われるアルファベットは何 ?,理系,A,C,B,D,B
北海道に棲息する、日本最大の淡水角であるサケ科の魚は何?   「,理系,カトウ,イトウ,サトワウ,サイトウ,イトウ
次のうち、天王星や海土星が属するのはどれ2?,理系,地球系,青文字系,シリウス系,太陽系,太陽系
次のうち、ヨーグルトなどに含まれる乳酸黄の一種はどれ ?,理系,"ーー --ー
納豆國",ビフィズス菌,カンピロバクター,ボツリヌス菌,ビフィズス菌
「ひとよひとよにひとみごろ」と覚える数はいくつ 2?,理系,ルート2,ルート5,ルート7,ルート3,ルート2
「ヨロイネズミ」とも呼ばれる、背面が硬い甲で覆われ、丸くなることで身を守る動物は何 ?,理系,アルデンテ,アルマジロロ,アルパチーノ,アルジャーノン,アルマジロロ
イカの足のことを、倫に何という ?,理系,エンペンフ,ゲソ,ゴロ,カラストンビピ,ゲソ
細胞を構成する次の組織のうち、遺伝子が含まれているものはどれ2?,理系,核,液肥,細胞膜,細胞質,核
次のうち、実際に存在する元素はどれ 2?,理系,木素,水素,土素,火素,水素
次のうち、「パスカル」という単位を表す記号はどれ?2,理系,Pc,Pb,Pd,Pa,Pa
秋頃に「ギースチョン」と鳴く、バッタのような昆虫は何?,理系,カブトムシ,キリギリス,カマキリ,モンシロチョウ,キリギリス
次のうち、気象庁が発表する警報ではないものはどれ?,理系,食中毒偽報,洪水警報,困風敬報,大雨菩報,食中毒偽報
次のうち、5の倍数はどれ ?,理系,15460,S8961,99628,485/4,15460
"一方が2倍、3倍となっていくとき
- 4にの
に な・ いく

/ Sh他方が2分の1倍、3分の1倍となる関係を何という ?",理系,反比例,離岸流,下呈上,逆水邊,反比例
「南洋の木材」 と「顔のほお」から連想される言葉は何 ?   」,理系,マスカラ,シャドー,ルージュ,チーク,チーク
夏鳥や冬島などに分けられる、繁殖地と越冬地を往復する島を何という?,理系,,,渡り鳥,走り島,渡り鳥
ハクチョウなどのように、水辺にすむ島を何という ?,理系,水鳥,水鳥,,火島,水鳥
夜空の「夏の大三角」を形作る3つの1等星は、デネブ、べベガと何?,理系,アークトウルス,スピカ,レグルス,アルタイル,アルタイル
次のうち、妊娠・分既などを扱う医字の科はどれ?,理系,眼科,皮膚科,耳鼻科,産婦人科,産婦人科
臓器移植で、臓器を提供する人のことを何という?,理系,ドナー,ドニー,クランケ,レシピエント,ドナー
「夏梅」という別名もある、ネコに興奮をもたらす植物は何 ?,理系,マタタビ,ナガタビ,ヒトリタビ,ヤドナシタビ,マタタビ
チタンやゲルマニウムなどのように流通量が少ない貴重な金属のことを何という3?,理系,ベースメタル,はぐれメタル,レフ,へヘビイメタル,レフ
次のうち、鳥類ではないのはどれ?,理系,ハクチョワウ,アゲハチョウ,ライチョワウ,ダチョウ,アゲハチョウ
次のうち、アナログ時計で長針と短針の角度が90*になる時刻はどれ ?,理系,3時,1時,4時,2時,3時
傘行四辺形の中でも、四辺の長さが等しいものを特に何という ?,理系,にし形,うし形,くし形,ひし形,ひし形
この時に夢を見ることが多い、体は眠っているのに脳は動いている睡眠状態は何 ?,理系,ベム睡眠,エム睡眠,レム膝眠,ガム睡眠,レム膝眠
チューリップなどにみられる、根や茎に養分がたまってふくらんだものを何という ?,理系,大根,球根,主根,運根,球根
全天で最も明るい星「シリウス」は、何という星座にある星?,理系,のらいぬ座,まけいぬめ座,こまいぬ座,おおいぬ座,おおいぬ座
世界初の宇宙飛行を行い、「地球は青かった」という言葉を残した人物は誰 ?,理系,マーガリン,ダージリン,スターリン,ガガーリン,ガガーリン
建物を落雷の被害から守るために設置される棒状の装置のことを何という?,理系,避雷針,,去埋針,輝震針,避雷針
次のうち、「両生類」に分類される生き物はどれ2,理系,サメ,カエル,クジラ,カモメ,カエル
太陽のふちに見える、炎のような赤いガスを何という ?,理系,プロミス,プロメテウス,プロポリス,プロミネンス,プロミネンス
次のうち、生まれたての赤ん坊の体に生えている、和柔らかく薄い毛を指まま:ヨちず<ル 果/,理系,妊毛,産毛,娠毛,妨毛,産毛
トンボの種類で、日本最大なのは円時,理系,オニガンマ,オニサンマ,オニヤンマ,オニトンマ,オニヤンマ
T生きた化石」の別名で知られる魚に何 ?,理系,シーラカンス,テッポウウオ,オウムガイ,ピラルク,シーラカンス
次のうち、「肝臓」を意味する言葉はどれ ?    -,理系,ノブ,スイッチ,レバー,ハンドル,レバー
脳科学者の茂木健一郎が紹介する、ひらめきの剛間に脳細胞が活性化されるという体験を何という ?,理系,ウフ体験,イヒ体験,エエへ体験,アハ体験,アハ体験
金属などの物質を熱して溶かす実験によく使われる、耐熱性の容器を何という2,理系,ちゃつぼ,どつぼ,うつぼ,るつぼ,るつぼ
木の枝や泥を使って川や湖に巨大なダムを作る、ネズミ目の動物は何 ?,理系,モルモット,カピバラ,ハダカデバネズミ,ビーバー,ビーバー
水分を多く含んだ地盤が、地震などによって軟らかくなる現象を何という?,理系,具体化現象,液状化現象,都市化現象,表面化現象,液状化現象
空気の密度差による光の屈折によって起こる、地上の物が浮かんで見えたりする現象を何という?,理系,黄玲楼,翔響楼,白玉楼,重気核,重気核
微生物が有機物を分解する現象を、人間に有害な場合は腐敗といいますが、有用な場合は何という ?,理系,発効,発行,発光,発酵,発効
"夏の夜空に
空に輝く赤い星 「アンタ
昌ス」がある星座は何 ?",理系,かに座,やぎ座,さそり座,おおぐま座,さそり座
鉄を与えると元気になるという言い伝えから名付けられた裸子植物は回角,理系,ソテツ,キテツ,テイテツ,コテツ,ソテツ
4択クイズを適当に答えた場合の正解率は理論的に何% ?,理系,S0%,0%,25%,10%,25%
メンテルがエンドウマメを使って発見した「メンデルの法則」とは、何に関する法則 ?,理系,光合成,受粉,蒸散,遺伝,遺伝
次のうち、人の言葉を真似ゃことでおなじみのムクドリ科の島はどれ ?,理系,文鳥,九官鳥,十姉妹,,九官鳥
太陽のように、目ら熱と光を出す天体を何という ?,理系,惑星,恒星,彗星,衛星,恒星
木の上にすみユーカリの葉を食べる、オーストラリアに生息する動物は何 ?,理系,エミュー,コアフ,ウォンバット,カンガルー,コアフ
人間の気道や消化辻などを履っている、柔らかく湿った上皮を何という?,理系,,粘膜,年膜,返膜,粘膜
次のうち、太陽系の惑星に存在しないものはどれ2?,理系,火星,月星,木星,水星,月星
次のうち、釘抜きなどに使われる、金属でできた棒状の工具はどれ ?,理系,レンナチ,クランプ,ジャッキ,バール,バール
妊娠しやすい体を作るために行われる、排卵誘発剤やホルモン剤の投与などの治療を何という ?,理系,不妊治療,"へへ三錠こム
公認治療",代替治療,終身治療,不妊治療
春になって日増しに暖かくなる途中、一時的に訪れる冷え込みを何という ?,理系,暖の戻り,杜の戻り,冷の戻り,温の戻り,杜の戻り
台風などで、風速が毎秒25mを超える地域を何という ?,理系,危険域,可航域,暴風域,航空域,暴風域
ジェンツー、マゼラン、フンボルト、アデリー、コウテイ等の種類がいる鳥は何 ?,理系,ペンギン,ダチョウ,クイナ,ヒクイドリ,ペンギン
日本の『京』などに代表される、高度な演算を行う大型計算機を何という?,理系,モンスターコンピュータ,スーパーコンピュータ,マスターコンピュータ,ハイパーコンピュータ,スーパーコンピュータ
人間の足赴にある、骨が両側に出っ編 、了チー,理系,とこぶし,やまぶし,かつおぶし,くるぶし,くるぶし
人間の内臓で、肺は「呼吸器」ですが、心臓は何器 ?  ーー,理系,消化器,泌尿其,生殖器,備玉問,備玉問
カエルなどの生き物が、生活活動をほとんど行わない状態で冬を越すことを何という ?,理系,冬の旅,冬眠,冬支度,冬衣,冬眠
科学実験で、液体などを入れる際に用いる細長いガラス管を何という ?,理系,試験管,温度管,検査管,調査官,試験管
次の水生昆虫のうち、水面をおもな生活の場とするものはどれ?,理系,タガメ,ゲンゴロウ,アメンボ,トンボ (ヤゴ),アメンボ
物質が液体の状態を経ずに、固体と気体の間で状態を変化させることを何という3?,理系,しょくじ,さゆうしゆう,しょうか,そしゃく,しょうか
太陽系の惑星で、金星と火星の間にクル3Yの】ちく幅7        「,理系,土星,地球,木星,水星,地球
次のうち、人体に実際にある有筋肉はとれ?,理系,カレイ筋,ヒラメ筋,マグロ筋,サンマ筋,ヒラメ筋
「中東呼吸器症候群」とも呼ばれる感染症「MERS」。何と読む ?,理系,アースズス,サタン,マーズ,マーキュリー,マーズ
「アース」といえば、太陽系のどの惑星のこと ?,理系,地球,火星,土星,木星,地球
その見た目から「アカパンダ」という別名を持つ、動物園でもおなじみの動物は何 ?,理系,ライトパンダ,レッサーパンダ,スモールパンダ,リトルパンダ,レッサーパンダ
EEEとさと4のめ紀中認のだたき:Tのが/相のに作られた、ある化学者の名前が付けられた装置は何 ?,理系,マートンのゆりかご,ニュートンのゆりかご,ノートンのゆりかご,ニートンのゆりかご,ニュートンのゆりかご
一次元の「長さ」、二次元の「面積」に相当する、三次元における量は何 ?,理系,集積,凌柄,体積,堆積,体積
胸部の毛や、黒と黄色のずんぐりした体が特徴的な、日本全国に分布するハチの仲間はどれ?,理系,クジラバチ,ウマバチ,クマバチ,サルバチ,クマバチ
その幼体が「ミドリガメ」の名前で流通している、北アメリカ原産のカメは「何アカミミガメ」 ?,理系,サスケハナ,ミシシッピ,プリマス,サラトガ,ミシシッピ
地層にチョークが含まれることから名づけられた、中生代最後の地質時代は何 ?,理系,亜細亜紀,黒亜紀,東亜紀,日亜紀,日亜紀
若田光一、野口聡一、毛利衛と言えばどんな職業の人 ?,理系,海中飛行士,宇宙飛行士,地中飛行士,喪中飛行士,宇宙飛行士
水素・リチウム・ナトリウムといえば、いずれも第何族元素 ?,理系,4,3,2,],]
5に対する1/5のように、ある数と掛け合わせると1になる数を何という?,理系,逆数,転数,倒数,胃数,逆数
トノサマ、ウシ、アマなどの種類がある両生類は何 ?,理系,クル,イク,サル,カエル,カエル
脊椎動物ののどの上部にある、声を出すための問官を何という2?,理系,声仏,声布,声膜,"= 皇
FT","= 皇
FT"
女性の美しさにも例えられる、秋の七草のひとつである植物は何 ?,理系,ハギ,ヤマブキ,クズ,ナデシコ,ナデシコ
_ 化学反応で、「C+02つの〇〇」の〇〇①つに入れて正しい式になるのは、のひjpまっず< 4,理系,CO2,H20,NH3,NaC|,CO2
季節の変化などによって、植物の葉が枝から落ちることを何という ?,理系,堕葉,下葉,墜葉,洛葉,洛葉
のちる28症リレもことたこあ/す2をれるグループはどれ3?,理系,げっ耳類,げっ昌類,げっ目類,げっ歯類,げっ歯類
次のうち、星座の名前にあるのはどれ 2?,理系,てんびん座,ばね座,おんどけい座,てこ座,てんびん座
ユーカリの葉を主食とする、オーストラリアに生息する動物は何 ?,理系,コブラ,コーフ,コアフ,コレフ,コアフ
次のうち、口の狭い容器に液体を注き込むときに使う実験器具の名前はとれ?,理系,あうと,さよょようと,ろうと,だうと,ろうと
医学者の野口英世が研究に生涯をささげ、自らもかかって亡くなった病気といえば何 ?,理系,示熱病,発熱病,黄熱病,情熱病,黄熱病
次のうち、普通、トラの体毛にはない色はどれ ?,理系,黄,緑,白,県,緑
1859年に出版された、生物学者・ダーウィンの著書は何 ?,理系,性の起源,命の起源,種の起源,物の起源,種の起源
次のうち、ニュートンが確立した法則はどれ2?,理系,"運賃の
法則","運命の
法則",連動の法則,連河の法則,連動の法則
"日本語
本語では「三
三色すみれ」と呼ばれとをたく幅W/      -",理系,パンジー,エンジー,アンジー,リンジー,パンジー
次のうち、水に溶けている物質が気体であるのはどれ2?,理系,砂糖水,炭酸水,食塩水,ミョウバン水,炭酸水
数学で、ある関数の導関数を求めることを何という ?2  「,理系,尾分,美分,備分,微分,微分
ひとつの物体に、逆方向で同じ大きさの力がかかり動かない状態のことを何という ?,理系,お似合い,つり合い,"化かし合
ロロ い","騙し合
い",つり合い
次のうち、動物の名前ではないのはどれ?                    「,理系,ナウシカ,ヘラジカ,カモシカ,エゾシカ,ナウシカ
次のうち、魚はどれ ?,理系,ヤマネ,ヤマネコ,"ヤ  ーー
マアフン",ヤマメ,ヤマメ
長さの単位 「ユカワ」に名を残す、日本人物理学者は誰 ?,理系,湯川一骨,湯川秀樹,湯川稼頭央,湯川款則,湯川秀樹
電気ポッドの水垢除去などにも使用できる、相橘類や梅干に多く含まれる酸は何 ?,理系,スエン酸,クエン酸,ミエン酸,ノメン酸,クエン酸
生命体と機械を融合させた存在を、「サイバネティック・オーガニスム」を略して何という 2?,理系,サイフォン,サイクロン,サイボーグ,サイエンス,サイボーグ
1 還か北Ac とす/計のに血栓症が起こる病気を、何症候群という2,理系,ファーストクラス症候群,プラチナクラス壮候群,ビジネスクラス症候群,エコノミークラス着候群,エコノミークラス着候群
次のうち、動物の血を吸うのが特徴の環形動物はどれ ?     「,理系,アサ,ヒル,ユウガタ,ヨル,ヒル
鉄の元素記号は何 ?,理系,Fe,Au,Ag,CU,Fe
次のうち、気体や液体の保存に用いられる密閉可能な容問はどれ2?,理系,エンデ,ゴンベ,ゾンデ,ボンベ,ボンベ
次のうち、その色素で、酸性やアルカリ性といった水溶液の性質を調べることができさる野楽はどれ?,理系,紫キャベツ,黒ホウレンソウ,赤レタス,白コマツナ,紫キャベツ
理科の実験などで、生物の体を解体し、内部の構造を観察することを何という2,理系,かいぼう,かいとう,かいそう,かいろう,かいぼう
日本に棲息するセミの中で、最も大さい種は何 ?,理系,クマゼミ,ゾウゼミ,サルゼミ,トラゼミ,クマゼミ
イルカの仲間としては最も大きい、白と黒の体色が特徴的な喘乳類は回角,理系,ハマナチ,メバル,ホオジロザメ,シャチ,シャチ
女性の、太くて不格好な形をした足のことを、ある野茶に例えて何という?,理系,ニンジン足,カブ足,大根足,ねぎ中,大根足
セミの一種「ツクツクボウシ」の名前の由来としなったのは、次のうちどれ?,理系,交尾方法,大きさ,模様,鳴き声,鳴き声
俗に「百獣の王」と呼ばれるネコ科の動物は何2 。,理系,ゾウ,ライオン,カバ,キリン,ライオン
かつて沖縄で、マングースによる駆際が行われたことでも知られる、へビの仲間は何?,理系,アブ,モブ,ラブ,ハブ,ハブ
次のうち、理科の実験でおなじみの電球にあるのはどれ3?,理系,,豆電球,胡麻電球,卵電球,豆電球
「ビピタゴラスの定理」「ガウスの定理」といえば、次のうち、どんな学癌に関係する定理 ?,理系,化学,心理学,歴史学,数学,数学
次の数のうち、必ず偶数になるのはとれ?,理系,5の倍数,3の倍数,7の倍数,4の倍数,4の倍数
ワウひる280/アのペシルニシンスアルカレ:ガバンの成虫のエサとなるものはどれ?,理系,樹液,化の蜜,他の昆虫,木の葉,樹液
幾何学で、「ベクトル」はどんな形で表される 2?    -,理系,三角形,丸,矢印,星形,矢印
次のうち、ウニの種類にあるのはとれ 2?,理系,バフンウニ,トリフンウニ,カニフンウニ,ギュウフンウニ,バフンウニ
大気中の光の屈折などによって起きる、物体が揺らいで見えたりする現象を何という 3?,理系,しんほうその,しんきろう,しんせかい,しんかろん,しんきろう
"ヤリ、スルメ、ホタルなどの種類があ
る魚介類は何 ?",理系,エビ,イカ,カニ,タコ,イカ
[ひとルルドと: の jpき20側から数えても内側から数えても3番目になる指は何 ?,理系,楽指,中指,人差し指,小指,中指
CDやDVDのように、薄いドーナツ型をした記憶媒体のことを総称して何という2,理系,光フリスク,光キオスク,光ディスク,光スクスク,光ディスク
ヘビが、長い体を渦巻き状に巻いた状態を何という?,理系,とがの,とぶろ,とぐろ,どくろ,とぐろ
次のうち、子どもによくみられる伝染病はどれ ?,理系,木ぼうそう,火ぼうそう,土ぼぽうそう,水ぼうそう,水ぼうそう
筋カトレーニングの後、休息を取ることによって筋肉が増加する現象を何という3?,理系,激回復,超回復,絶回復,娠回復,超回復
「バチスタ手術」といえば、人間のどの騰器に対する手術 ?   「,理系,"==|
月",肺,心臓,肝臓,心臓
次のうち、「まぶしい」と感じられとるにコちすっ   -,理系,風,光,"と=コ
由",ずすず0もる,光
熱帯魚飼育は「これに始まりこれに終わる」といわれる、鮮やかな色が特徴の熱帯負といえば何 ?,理系,ゲッピー,ゴッピー,グッピー,ガッピー,グッピー
ハワイがその代表例である、マグマが発生し火山活動が起きる場所を指す用語は何 ?,理系,ドライスポット,ホットスポット,アイススポット,クールスポット,ホットスポット
のどの人炎症やせきを鎮める時になめる、真ん中に穴が開いた楽を何という?,理系,トローチ,アプローチ,ブローチ,コックローチ,トローチ
「位置エネルギー」は、物体の位置が高けれはば高いほどどうなる ?,理系,変わらない,年減する,高くなる,低くなる,高くなる
恒星の表面の色は、一般に、次のうちどんなものによって決まる ?,理系,表面温度,構成元素,大きさ,地球からの距離,表面温度
次のうち、通常は固体なのはどれ ?,理系,牛乳,オレンジジュース,水,ビール,水
次のうち、成長すると「カ」になるの】とちず2ル4 且2      」,理系,ボウフラ,ヤゴ,オタマジャクシ,ミノムシ,ボウフラ
太陽系の惑星で、水星と地球の間にクル3Yの】ちく幅7     「,理系,金星,火星,太陽,木星,金星
東京・上野動物園で飼育された、ランラン、カンカン、トントンといえばは、どんねな動物 ?,理系,コビトカバ,アメリカバイソン,ジャイアントパンダ,オカピビ,ジャイアントパンダ
サケやアユが、川の流れを逆行して登って行くことを何という?2,理系,,創傷,遡上,奏上,遡上
次のうち、眠い時に起こる呼吸動作はどれ ?   「,理系,あくび,しゃっくり,おなら,くしゃみ,あくび
炎色反応を覚える語呂合わせ「リアカー無きK村」で、「リアカー」が示す元素と色は何 ?,理系,リチウムと青,リチウムと赤,リチウムと紫,リチウムと緑,リチウムと紫
日本産のハチでは最大種である、彼毒を持つことで知られるハチは何 ?,理系,アシナガバチ,ミツバチ,キンギョバチ,スズメバチ,スズメバチ
人間の言葉をまねることで有名な、ES『の1 たく幅W/,理系,九官鳥,七官伺,八官伺,巨人,九官鳥
1895年にドイツの物理学者レントゲンが発見した「〇線」。〇は何 ?,理系,Z,Y,X,W,X
WESひだ:EMIYX6【ゆお和ンタた 申肝2,理系,グレム,グロム,グリム,グラム,グラム
三角、丸底などの種類がある、理科の実験で使う道具は何 ?,理系,上息てんびん,顕微鏡,沸騰石,ノラスコ,ノラスコ
「マイマイ」 「テンデテンムシ」などの別名がある生き物は何2,理系,カタツムリ,"ミミズ
ee
人",クラゲ,"さぶ ペペざ 写
ジンニニ",カタツムリ
栄養素を豊富に含むとされる、水深200m以上の場所に存在する海水を何という2,理系,海陽紳葬水,海用真相水,海容新装水,海洋深層水,海洋深層水
地表が、風や水などの力によって前り取られることを何という ?  「,理系,風食,堆積,浸食,侵略,浸食
"物が水に浮いているとき、浮力とつり合っ
て
上
力は次の
うち
どれ
フ",理系,摩擦,体力,転向力,重力,重力
タスマニア島に分布している、世界最大の肉食有袋類は何 ?,理系,タスマニアゴッド,タスマニアエンジェル,タスマニアキング,タスマニアデビル,タスマニアデビル
「静須」とは逆に、心臓から全身の器官へと和送られる血液が通る血管のことを何という?,理系,金脈,動脈,山脈,人服,動脈
ダイナマイトは「ある物質」を玩藻土にしみ込ませて作られますが「ある物質」とは次のうちどれ?,理系,ニトログリセリン,プロピルアルコール,シクロヘキサン,ニトロベンゼン,ニトログリセリン
無セキツイ動物のうちタコ・イカ・ナメクジ・アサリなどは何と呼ばれている?,理系,腔腸動物,環形動物,軟体動物,,軟体動物
次のうち、「質量=体積」の計算で求めるものはどれ2,理系,光度,角度,休度,密度,密度
親の特徴が子に伝わることを何という?2,理系,遺伝,一子相伝,断絶,免許紅伝,遺伝
病院で、ある患者に対して、中心となって治療にあたる医師を何という?,理系,介護士,主治医,救管医,当直医,主治医
米国の衛星を利用し携帯電話やカーナビにも搭載されている全地球測位システムの通称は何?,理系,GPS,PHP,FTP,GSV,GPS
化学変化の前の物質全体の質量と後の物質全体の質量は変わらない。というのは何という法則?,理系,フレミングの法則,ファラデーの法則,熱の法則,質量保存の法則,質量保存の法則
見た目が馬の脳に似ていることから名づけられた鉱物の一種はどれ ?,理系,実母,斑璃,桁柚石,孔雀石,斑璃
多数の細胞が集まって体ができている生物を何という?,理系,,他細胞生物,単細胞生物,多細胞生物,多細胞生物
親の体内で子をある程度育ててから生む方法を、「卵生」に対して何という?,理系,幼生,寄生,湿生,胎生,胎生
水溶液になると電流を通す物質を何という?,理系,,電人質,陽質,非電解質,電人質
「降圧薬」といえば、次のうち、どの数値を下げるために飲む薬 2,理系,血圧,車圧,気圧,指圧,血圧
記号「N」で表される「ニュートン」といえば何の単位 ?,理系,力,"と=コ
三」",光,ずすず0もる,力
地球上の物体に働く、地球の中心に向かって引っ張られる力を何という?,理系,電磁力,力積,張力,重力,重力
動物が体内に貯蔵することから 「動物デンプン」とも呼ばれる物質は回角,理系,グリコーゲン,ナイアシン,アドレナリン,パソブレシン,グリコーゲン
イカの体の表面などに生息する、光を発するバクテリアを何という ?,理系,光源バクテリア,発光バクテリア,光放バクテリア,光線バクテリア,発光バクテリア
常温で液体である数少ない元素でもある、体温計などに使われる物質は回角,理系,水銅,水金,水鉄,水銀,水銀
xやyを使って表される、様々な値をとる数を文字で表したものを何という?,理系,替数,返数,換数,変数,変数
次のうち、最も大きい電池はどれ ?,理系,単一電池,単四電池,単二電池,単三電池,単一電池
音速を超えて飛行する物体から発せられる衝撃波が地上に達したものは回角,理系,昇章挙,ソニックブーム,ヨガフレイム,サマーソルトキック,ソニックブーム
ゴールデン、ジャンガリアンなどの種類がいるネズミの仲間である動物は何 ?,理系,メートリア,カピバラ,ハムスター,モルモット,ハムスター
優性の法則・分離の法則・独立の法則の3つの遺伝の法則を発見した、オーストリアの生物学者は誰 ?,理系,メンデル,メンカウラー,メンデレーエフ,メンデルスソゾーン,メンデル
次の筋肉のうち、足にあるのはどれ?2,理系,外助問筋,横隔膜,心筋,ヒラメ筋,ヒラメ筋
生物を構成する基本単位は何 ?,理系,細胞,小肥,大胞,太胞,細胞
クリミア戦争で活躍したナイチンゲールといえば、次のうちどんな職業の発展に頁献した人物 ?,理系,楽剤師,保育士,宋奮士,看護師,看護師
島の口にある、硬い板のような部分のことを何という3?,理系,びしばし,いしばし,さいばし,くちばし,くちばし
開発当時、「クモの和糸より細く鋼鉄よりも硬い」というキャッチコピーで知られた合成繊維は何 ?,理系,ナイツモ,ナイポン,ナイロン,ナイチー,ナイロン
「ガイガーカウンター」といえは、次のうち何を測定する機械 ?,理系,放射線,"温度
ZI お<",マグニチュード,身長,放射線
「巻積雲」のことを、魚の群れのように見えることから何という ?2,理系,さけ雲,まぐろ寺,いわし害,ぶな害,いわし害
次のうち、衛に「鱗粉」という粉がついている昆虫はどれ ?,理系,チョウ,バッタ,トンボ,カブトムシ,チョウ
タンポポやヒマワリは何科の植物 ?,理系,キク科,サワル科,ミル科,カグ科,キク科
次のうち、東南アジアに分布する、夜行性のサルはどれ?,理系,スカーフザル,テブクロザル,ボウシザル,メガネザル,メガネザル
地球から一番近い恒星は何 ?,理系,シリウス,アンタレス,べベガ,太陽,太陽
高校の理科で、細胞、遺伝、代謝について学習する教科はどれ ?,理系,地学,生物,物理,化学,生物
船や飛行機で用いられる、磁石の針が南北を指すことを利用して方角を知る計器といえば何 ?,理系,野球盤,配電般,"文字
盤",維針盤,維針盤
アール、ヘクタール、王方メートルといえば、何を表す単位 ?,理系,時間,面積,質量,長さ,面積
「昆虫記』の作者として知られる、フランスの昆虫学者は誰 ?,理系,ファーブル,ルーブル,マーブル,ネーブル,ファーブル
草を牛が食べ、その牛を人間が食べるというような、食べる・食べられるの関係を何という ?,理系,食物連鎖,食物関係,食物繊維,食物結合,食物連鎖
